tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Epres	mean	3
NaN	1	1	2	1	1	Epres	mean	3
NaN	1	1	3	1	1	Epres	mean	3
NaN	1	1	4	1	1	Epres	mean	3
39904.179452	1	1	5	1	1	Epres	mean	3
39901.342829	1	1	6	1	1	Epres	mean	3
39949.108693	1	1	7	1	1	Epres	mean	3
39915.899597	1	1	8	1	1	Epres	mean	3
39956.859545	1	1	9	1	1	Epres	mean	3
39975.377003	1	1	10	1	1	Epres	mean	3
NaN	1	2	1	1	1	Epres	mean	3
NaN	1	2	2	1	1	Epres	mean	3
39873.102683	1	2	3	1	1	Epres	mean	3
39964.250535	1	2	4	1	1	Epres	mean	3
39935.710252	1	2	5	1	1	Epres	mean	3
39948.603001	1	2	6	1	1	Epres	mean	3
39950.010151	1	2	7	1	1	Epres	mean	3
39963.423575	1	2	8	1	1	Epres	mean	3
39935.622878	1	2	9	1	1	Epres	mean	3
39994.824387	1	2	10	1	1	Epres	mean	3
NaN	1	3	1	1	1	Epres	mean	3
39955.659841	1	3	2	1	1	Epres	mean	3
39989.354962	1	3	3	1	1	Epres	mean	3
40025.002812	1	3	4	1	1	Epres	mean	3
39992.634222	1	3	5	1	1	Epres	mean	3
40015.352410	1	3	6	1	1	Epres	mean	3
40024.341289	1	3	7	1	1	Epres	mean	3
40014.044546	1	3	8	1	1	Epres	mean	3
40008.039596	1	3	9	1	1	Epres	mean	3
40025.576966	1	3	10	1	1	Epres	mean	3
40033.681384	1	4	1	1	1	Epres	mean	3
39970.792677	1	4	2	1	1	Epres	mean	3
39989.257071	1	4	3	1	1	Epres	mean	3
39995.173527	1	4	4	1	1	Epres	mean	3
40026.498885	1	4	5	1	1	Epres	mean	3
40024.830048	1	4	6	1	1	Epres	mean	3
40025.464507	1	4	7	1	1	Epres	mean	3
40032.209578	1	4	8	1	1	Epres	mean	3
40039.837746	1	4	9	1	1	Epres	mean	3
40051.158433	1	4	10	1	1	Epres	mean	3
39964.295479	1	5	1	1	1	Epres	mean	3
39975.465192	1	5	2	1	1	Epres	mean	3
39929.428802	1	5	3	1	1	Epres	mean	3
39935.439511	1	5	4	1	1	Epres	mean	3
39948.475345	1	5	5	1	1	Epres	mean	3
39954.033556	1	5	6	1	1	Epres	mean	3
39971.859406	1	5	7	1	1	Epres	mean	3
39977.103682	1	5	8	1	1	Epres	mean	3
39985.368552	1	5	9	1	1	Epres	mean	3
39999.261212	1	5	10	1	1	Epres	mean	3
39870.563807	1	6	1	1	1	Epres	mean	3
39805.161560	1	6	2	1	1	Epres	mean	3
39790.445755	1	6	3	1	1	Epres	mean	3
39781.286199	1	6	4	1	1	Epres	mean	3
39797.535319	1	6	5	1	1	Epres	mean	3
39820.647304	1	6	6	1	1	Epres	mean	3
39836.061736	1	6	7	1	1	Epres	mean	3
39851.152784	1	6	8	1	1	Epres	mean	3
39857.270745	1	6	9	1	1	Epres	mean	3
39882.666691	1	6	10	1	1	Epres	mean	3
39717.396903	1	7	1	1	1	Epres	mean	3
39550.804164	1	7	2	1	1	Epres	mean	3
39490.556875	1	7	3	1	1	Epres	mean	3
39494.459257	1	7	4	1	1	Epres	mean	3
39518.732302	1	7	5	1	1	Epres	mean	3
39569.456014	1	7	6	1	1	Epres	mean	3
39622.601734	1	7	7	1	1	Epres	mean	3
39635.449975	1	7	8	1	1	Epres	mean	3
39638.925445	1	7	9	1	1	Epres	mean	3
39662.371241	1	7	10	1	1	Epres	mean	3
39337.865743	1	8	1	1	1	Epres	mean	3
39014.461009	1	8	2	1	1	Epres	mean	3
38901.097295	1	8	3	1	1	Epres	mean	3
38917.875780	1	8	4	1	1	Epres	mean	3
38995.814169	1	8	5	1	1	Epres	mean	3
39134.680049	1	8	6	1	1	Epres	mean	3
39240.944329	1	8	7	1	1	Epres	mean	3
39296.382336	1	8	8	1	1	Epres	mean	3
39296.081039	1	8	9	1	1	Epres	mean	3
39277.836362	1	8	10	1	1	Epres	mean	3
38010.405638	1	9	1	1	1	Epres	mean	3
37750.962640	1	9	2	1	1	Epres	mean	3
37700.994584	1	9	3	1	1	Epres	mean	3
37842.091884	1	9	4	1	1	Epres	mean	3
38079.367701	1	9	5	1	1	Epres	mean	3
38405.290260	1	9	6	1	1	Epres	mean	3
38686.799002	1	9	7	1	1	Epres	mean	3
38833.880819	1	9	8	1	1	Epres	mean	3
38784.970916	1	9	9	1	1	Epres	mean	3
38694.687598	1	9	10	1	1	Epres	mean	3
NaN	1	10	1	1	1	Epres	mean	3
35184.458616	1	10	2	1	1	Epres	mean	3
35945.777447	1	10	3	1	1	Epres	mean	3
36489.776639	1	10	4	1	1	Epres	mean	3
36937.596905	1	10	5	1	1	Epres	mean	3
37534.255172	1	10	6	1	1	Epres	mean	3
38022.318531	1	10	7	1	1	Epres	mean	3
38366.440987	1	10	8	1	1	Epres	mean	3
38162.534039	1	10	9	1	1	Epres	mean	3
37932.631759	1	10	10	1	1	Epres	mean	3
NaN	2	1	1	1	1	Epres	mean	3
NaN	2	1	2	1	1	Epres	mean	3
NaN	2	1	3	1	1	Epres	mean	3
37158.128956	2	1	4	1	1	Epres	mean	3
37146.433490	2	1	5	1	1	Epres	mean	3
37182.895225	2	1	6	1	1	Epres	mean	3
37130.303688	2	1	7	1	1	Epres	mean	3
37089.176320	2	1	8	1	1	Epres	mean	3
37067.659622	2	1	9	1	1	Epres	mean	3
37070.977711	2	1	10	1	1	Epres	mean	3
NaN	2	2	1	1	1	Epres	mean	3
NaN	2	2	2	1	1	Epres	mean	3
37139.862671	2	2	3	1	1	Epres	mean	3
37166.990609	2	2	4	1	1	Epres	mean	3
37120.664792	2	2	5	1	1	Epres	mean	3
37121.124592	2	2	6	1	1	Epres	mean	3
37134.954036	2	2	7	1	1	Epres	mean	3
37127.308022	2	2	8	1	1	Epres	mean	3
37091.670234	2	2	9	1	1	Epres	mean	3
37042.811081	2	2	10	1	1	Epres	mean	3
NaN	2	3	1	1	1	Epres	mean	3
37122.649778	2	3	2	1	1	Epres	mean	3
37002.743951	2	3	3	1	1	Epres	mean	3
36995.020156	2	3	4	1	1	Epres	mean	3
37026.790486	2	3	5	1	1	Epres	mean	3
37032.525196	2	3	6	1	1	Epres	mean	3
37050.689275	2	3	7	1	1	Epres	mean	3
37082.025244	2	3	8	1	1	Epres	mean	3
37046.531404	2	3	9	1	1	Epres	mean	3
37078.070838	2	3	10	1	1	Epres	mean	3
36871.830466	2	4	1	1	1	Epres	mean	3
36964.233088	2	4	2	1	1	Epres	mean	3
36908.193800	2	4	3	1	1	Epres	mean	3
36969.852432	2	4	4	1	1	Epres	mean	3
36964.861897	2	4	5	1	1	Epres	mean	3
36979.571415	2	4	6	1	1	Epres	mean	3
36998.745363	2	4	7	1	1	Epres	mean	3
37003.870152	2	4	8	1	1	Epres	mean	3
36995.766492	2	4	9	1	1	Epres	mean	3
37003.452183	2	4	10	1	1	Epres	mean	3
36945.735225	2	5	1	1	1	Epres	mean	3
36916.294226	2	5	2	1	1	Epres	mean	3
36862.652400	2	5	3	1	1	Epres	mean	3
36862.754313	2	5	4	1	1	Epres	mean	3
36863.734957	2	5	5	1	1	Epres	mean	3
36892.164664	2	5	6	1	1	Epres	mean	3
36896.510525	2	5	7	1	1	Epres	mean	3
36905.653203	2	5	8	1	1	Epres	mean	3
36922.531012	2	5	9	1	1	Epres	mean	3
36935.306825	2	5	10	1	1	Epres	mean	3
36868.762192	2	6	1	1	1	Epres	mean	3
36750.071037	2	6	2	1	1	Epres	mean	3
36702.195934	2	6	3	1	1	Epres	mean	3
36667.718689	2	6	4	1	1	Epres	mean	3
36681.187071	2	6	5	1	1	Epres	mean	3
36706.822571	2	6	6	1	1	Epres	mean	3
36736.490504	2	6	7	1	1	Epres	mean	3
36753.419900	2	6	8	1	1	Epres	mean	3
36764.135511	2	6	9	1	1	Epres	mean	3
36801.555670	2	6	10	1	1	Epres	mean	3
36703.898896	2	7	1	1	1	Epres	mean	3
36468.632703	2	7	2	1	1	Epres	mean	3
36339.938427	2	7	3	1	1	Epres	mean	3
36283.838039	2	7	4	1	1	Epres	mean	3
36338.529130	2	7	5	1	1	Epres	mean	3
36397.501189	2	7	6	1	1	Epres	mean	3
36452.850990	2	7	7	1	1	Epres	mean	3
36480.303557	2	7	8	1	1	Epres	mean	3
36489.474536	2	7	9	1	1	Epres	mean	3
36525.014058	2	7	10	1	1	Epres	mean	3
36436.735828	2	8	1	1	1	Epres	mean	3
35888.216276	2	8	2	1	1	Epres	mean	3
35662.462722	2	8	3	1	1	Epres	mean	3
35691.844724	2	8	4	1	1	Epres	mean	3
35751.939451	2	8	5	1	1	Epres	mean	3
35882.540821	2	8	6	1	1	Epres	mean	3
36034.114727	2	8	7	1	1	Epres	mean	3
36110.286771	2	8	8	1	1	Epres	mean	3
36113.767342	2	8	9	1	1	Epres	mean	3
36094.710453	2	8	10	1	1	Epres	mean	3
35947.722826	2	9	1	1	1	Epres	mean	3
34934.585499	2	9	2	1	1	Epres	mean	3
34641.445501	2	9	3	1	1	Epres	mean	3
34662.621857	2	9	4	1	1	Epres	mean	3
34901.097035	2	9	5	1	1	Epres	mean	3
35239.479002	2	9	6	1	1	Epres	mean	3
35613.664151	2	9	7	1	1	Epres	mean	3
35809.798094	2	9	8	1	1	Epres	mean	3
35721.395392	2	9	9	1	1	Epres	mean	3
35556.296991	2	9	10	1	1	Epres	mean	3
NaN	2	10	1	1	1	Epres	mean	3
32922.893563	2	10	2	1	1	Epres	mean	3
33485.102861	2	10	3	1	1	Epres	mean	3
33830.065327	2	10	4	1	1	Epres	mean	3
34278.003170	2	10	5	1	1	Epres	mean	3
34852.519639	2	10	6	1	1	Epres	mean	3
35520.047187	2	10	7	1	1	Epres	mean	3
35916.544152	2	10	8	1	1	Epres	mean	3
35742.598182	2	10	9	1	1	Epres	mean	3
35333.172761	2	10	10	1	1	Epres	mean	3
NaN	3	1	1	1	1	Epres	mean	3
NaN	3	1	2	1	1	Epres	mean	3
NaN	3	1	3	1	1	Epres	mean	3
32461.384747	3	1	4	1	1	Epres	mean	3
32573.375887	3	1	5	1	1	Epres	mean	3
32460.455835	3	1	6	1	1	Epres	mean	3
32463.958907	3	1	7	1	1	Epres	mean	3
32500.363016	3	1	8	1	1	Epres	mean	3
32446.632199	3	1	9	1	1	Epres	mean	3
32458.323006	3	1	10	1	1	Epres	mean	3
NaN	3	2	1	1	1	Epres	mean	3
NaN	3	2	2	1	1	Epres	mean	3
32645.293429	3	2	3	1	1	Epres	mean	3
32651.682518	3	2	4	1	1	Epres	mean	3
32634.363646	3	2	5	1	1	Epres	mean	3
32635.475391	3	2	6	1	1	Epres	mean	3
32608.848029	3	2	7	1	1	Epres	mean	3
32653.074983	3	2	8	1	1	Epres	mean	3
32656.889201	3	2	9	1	1	Epres	mean	3
32628.793697	3	2	10	1	1	Epres	mean	3
32747.929193	3	3	1	1	1	Epres	mean	3
32787.757832	3	3	2	1	1	Epres	mean	3
32743.398914	3	3	3	1	1	Epres	mean	3
32674.320783	3	3	4	1	1	Epres	mean	3
32668.291602	3	3	5	1	1	Epres	mean	3
32674.922715	3	3	6	1	1	Epres	mean	3
32710.441067	3	3	7	1	1	Epres	mean	3
32702.513409	3	3	8	1	1	Epres	mean	3
32695.753505	3	3	9	1	1	Epres	mean	3
32675.406506	3	3	10	1	1	Epres	mean	3
32785.574144	3	4	1	1	1	Epres	mean	3
32737.219609	3	4	2	1	1	Epres	mean	3
32703.827727	3	4	3	1	1	Epres	mean	3
32698.360082	3	4	4	1	1	Epres	mean	3
32705.510430	3	4	5	1	1	Epres	mean	3
32692.409011	3	4	6	1	1	Epres	mean	3
32717.402613	3	4	7	1	1	Epres	mean	3
32717.987718	3	4	8	1	1	Epres	mean	3
32728.324248	3	4	9	1	1	Epres	mean	3
32750.235931	3	4	10	1	1	Epres	mean	3
32628.112827	3	5	1	1	1	Epres	mean	3
32613.304899	3	5	2	1	1	Epres	mean	3
32610.950306	3	5	3	1	1	Epres	mean	3
32592.113104	3	5	4	1	1	Epres	mean	3
32591.628722	3	5	5	1	1	Epres	mean	3
32615.162373	3	5	6	1	1	Epres	mean	3
32620.455722	3	5	7	1	1	Epres	mean	3
32628.633084	3	5	8	1	1	Epres	mean	3
32648.927066	3	5	9	1	1	Epres	mean	3
32688.243099	3	5	10	1	1	Epres	mean	3
32556.156629	3	6	1	1	1	Epres	mean	3
32423.791099	3	6	2	1	1	Epres	mean	3
32390.781147	3	6	3	1	1	Epres	mean	3
32357.802952	3	6	4	1	1	Epres	mean	3
32364.438094	3	6	5	1	1	Epres	mean	3
32391.747208	3	6	6	1	1	Epres	mean	3
32413.462256	3	6	7	1	1	Epres	mean	3
32433.325371	3	6	8	1	1	Epres	mean	3
32456.472429	3	6	9	1	1	Epres	mean	3
32494.247813	3	6	10	1	1	Epres	mean	3
32481.845826	3	7	1	1	1	Epres	mean	3
32199.947142	3	7	2	1	1	Epres	mean	3
32046.469091	3	7	3	1	1	Epres	mean	3
31989.015107	3	7	4	1	1	Epres	mean	3
31998.095115	3	7	5	1	1	Epres	mean	3
32052.892016	3	7	6	1	1	Epres	mean	3
32114.021581	3	7	7	1	1	Epres	mean	3
32153.962307	3	7	8	1	1	Epres	mean	3
32161.691137	3	7	9	1	1	Epres	mean	3
32187.038755	3	7	10	1	1	Epres	mean	3
32434.106134	3	8	1	1	1	Epres	mean	3
31836.599640	3	8	2	1	1	Epres	mean	3
31570.732720	3	8	3	1	1	Epres	mean	3
31464.094741	3	8	4	1	1	Epres	mean	3
31525.171840	3	8	5	1	1	Epres	mean	3
31668.284051	3	8	6	1	1	Epres	mean	3
31843.617742	3	8	7	1	1	Epres	mean	3
31940.024813	3	8	8	1	1	Epres	mean	3
31910.042351	3	8	9	1	1	Epres	mean	3
31859.455984	3	8	10	1	1	Epres	mean	3
32508.128988	3	9	1	1	1	Epres	mean	3
31630.006941	3	9	2	1	1	Epres	mean	3
31188.318838	3	9	3	1	1	Epres	mean	3
31035.358635	3	9	4	1	1	Epres	mean	3
31167.067175	3	9	5	1	1	Epres	mean	3
31531.751228	3	9	6	1	1	Epres	mean	3
31902.399944	3	9	7	1	1	Epres	mean	3
32173.962288	3	9	8	1	1	Epres	mean	3
32093.090955	3	9	9	1	1	Epres	mean	3
31842.217175	3	9	10	1	1	Epres	mean	3
32382.255054	3	10	1	1	1	Epres	mean	3
31454.702606	3	10	2	1	1	Epres	mean	3
31362.668189	3	10	3	1	1	Epres	mean	3
31546.212509	3	10	4	1	1	Epres	mean	3
31841.233431	3	10	5	1	1	Epres	mean	3
32283.980485	3	10	6	1	1	Epres	mean	3
32896.333115	3	10	7	1	1	Epres	mean	3
33350.004528	3	10	8	1	1	Epres	mean	3
33240.544022	3	10	9	1	1	Epres	mean	3
32773.881556	3	10	10	1	1	Epres	mean	3
NaN	4	1	1	1	1	Epres	mean	3
NaN	4	1	2	1	1	Epres	mean	3
NaN	4	1	3	1	1	Epres	mean	3
26330.723614	4	1	4	1	1	Epres	mean	3
26235.492832	4	1	5	1	1	Epres	mean	3
26348.709353	4	1	6	1	1	Epres	mean	3
26432.548891	4	1	7	1	1	Epres	mean	3
26503.330731	4	1	8	1	1	Epres	mean	3
26525.017203	4	1	9	1	1	Epres	mean	3
26524.914668	4	1	10	1	1	Epres	mean	3
NaN	4	2	1	1	1	Epres	mean	3
26215.781736	4	2	2	1	1	Epres	mean	3
26298.144180	4	2	3	1	1	Epres	mean	3
26349.909890	4	2	4	1	1	Epres	mean	3
26378.511422	4	2	5	1	1	Epres	mean	3
26433.927020	4	2	6	1	1	Epres	mean	3
26495.849451	4	2	7	1	1	Epres	mean	3
26587.405316	4	2	8	1	1	Epres	mean	3
26563.006357	4	2	9	1	1	Epres	mean	3
26524.598194	4	2	10	1	1	Epres	mean	3
26170.569431	4	3	1	1	1	Epres	mean	3
26503.504010	4	3	2	1	1	Epres	mean	3
26424.538276	4	3	3	1	1	Epres	mean	3
26570.461424	4	3	4	1	1	Epres	mean	3
26521.086061	4	3	5	1	1	Epres	mean	3
26635.794110	4	3	6	1	1	Epres	mean	3
26705.613855	4	3	7	1	1	Epres	mean	3
26709.909397	4	3	8	1	1	Epres	mean	3
26667.224882	4	3	9	1	1	Epres	mean	3
26658.495667	4	3	10	1	1	Epres	mean	3
26604.375017	4	4	1	1	1	Epres	mean	3
26528.041153	4	4	2	1	1	Epres	mean	3
26662.825743	4	4	3	1	1	Epres	mean	3
26654.592444	4	4	4	1	1	Epres	mean	3
26667.020733	4	4	5	1	1	Epres	mean	3
26708.567066	4	4	6	1	1	Epres	mean	3
26725.127506	4	4	7	1	1	Epres	mean	3
26740.591145	4	4	8	1	1	Epres	mean	3
26771.937148	4	4	9	1	1	Epres	mean	3
26736.988421	4	4	10	1	1	Epres	mean	3
26716.903584	4	5	1	1	1	Epres	mean	3
26683.974873	4	5	2	1	1	Epres	mean	3
