tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
757.188146	1	1	1	1	1	Epres	sigma	5
754.679748	1	1	2	1	1	Epres	sigma	5
750.404801	1	1	3	1	1	Epres	sigma	5
742.577073	1	1	4	1	1	Epres	sigma	5
748.276280	1	1	5	1	1	Epres	sigma	5
746.147838	1	1	6	1	1	Epres	sigma	5
742.121742	1	1	7	1	1	Epres	sigma	5
747.251813	1	1	8	1	1	Epres	sigma	5
748.347785	1	1	9	1	1	Epres	sigma	5
746.338181	1	1	10	1	1	Epres	sigma	5
766.744372	1	2	1	1	1	Epres	sigma	5
782.163077	1	2	2	1	1	Epres	sigma	5
763.662463	1	2	3	1	1	Epres	sigma	5
760.075440	1	2	4	1	1	Epres	sigma	5
752.828346	1	2	5	1	1	Epres	sigma	5
756.622283	1	2	6	1	1	Epres	sigma	5
756.856874	1	2	7	1	1	Epres	sigma	5
758.129402	1	2	8	1	1	Epres	sigma	5
758.790776	1	2	9	1	1	Epres	sigma	5
756.416163	1	2	10	1	1	Epres	sigma	5
815.967562	1	3	1	1	1	Epres	sigma	5
806.318038	1	3	2	1	1	Epres	sigma	5
786.192449	1	3	3	1	1	Epres	sigma	5
767.394160	1	3	4	1	1	Epres	sigma	5
766.452321	1	3	5	1	1	Epres	sigma	5
766.185435	1	3	6	1	1	Epres	sigma	5
770.400313	1	3	7	1	1	Epres	sigma	5
774.206455	1	3	8	1	1	Epres	sigma	5
772.424260	1	3	9	1	1	Epres	sigma	5
768.903162	1	3	10	1	1	Epres	sigma	5
881.830435	1	4	1	1	1	Epres	sigma	5
853.942864	1	4	2	1	1	Epres	sigma	5
834.533886	1	4	3	1	1	Epres	sigma	5
793.861789	1	4	4	1	1	Epres	sigma	5
787.773683	1	4	5	1	1	Epres	sigma	5
793.801077	1	4	6	1	1	Epres	sigma	5
800.020147	1	4	7	1	1	Epres	sigma	5
804.302488	1	4	8	1	1	Epres	sigma	5
801.165168	1	4	9	1	1	Epres	sigma	5
789.608260	1	4	10	1	1	Epres	sigma	5
886.833522	1	5	1	1	1	Epres	sigma	5
892.710255	1	5	2	1	1	Epres	sigma	5
868.718642	1	5	3	1	1	Epres	sigma	5
823.075392	1	5	4	1	1	Epres	sigma	5
817.290290	1	5	5	1	1	Epres	sigma	5
825.593794	1	5	6	1	1	Epres	sigma	5
840.443808	1	5	7	1	1	Epres	sigma	5
843.101459	1	5	8	1	1	Epres	sigma	5
844.548480	1	5	9	1	1	Epres	sigma	5
829.139829	1	5	10	1	1	Epres	sigma	5
909.973856	1	6	1	1	1	Epres	sigma	5
932.510477	1	6	2	1	1	Epres	sigma	5
921.561518	1	6	3	1	1	Epres	sigma	5
870.400867	1	6	4	1	1	Epres	sigma	5
866.344916	1	6	5	1	1	Epres	sigma	5
887.371698	1	6	6	1	1	Epres	sigma	5
902.684096	1	6	7	1	1	Epres	sigma	5
910.220032	1	6	8	1	1	Epres	sigma	5
904.556986	1	6	9	1	1	Epres	sigma	5
881.547592	1	6	10	1	1	Epres	sigma	5
1009.601366	1	7	1	1	1	Epres	sigma	5
1025.798544	1	7	2	1	1	Epres	sigma	5
1015.716998	1	7	3	1	1	Epres	sigma	5
944.422615	1	7	4	1	1	Epres	sigma	5
942.056054	1	7	5	1	1	Epres	sigma	5
968.425326	1	7	6	1	1	Epres	sigma	5
998.077531	1	7	7	1	1	Epres	sigma	5
1003.827978	1	7	8	1	1	Epres	sigma	5
990.870781	1	7	9	1	1	Epres	sigma	5
965.286590	1	7	10	1	1	Epres	sigma	5
NaN	1	8	1	1	1	Epres	sigma	5
1229.907786	1	8	2	1	1	Epres	sigma	5
1132.349862	1	8	3	1	1	Epres	sigma	5
1048.332422	1	8	4	1	1	Epres	sigma	5
1065.678819	1	8	5	1	1	Epres	sigma	5
1083.117330	1	8	6	1	1	Epres	sigma	5
1095.236485	1	8	7	1	1	Epres	sigma	5
1119.295231	1	8	8	1	1	Epres	sigma	5
1114.884229	1	8	9	1	1	Epres	sigma	5
1080.166887	1	8	10	1	1	Epres	sigma	5
NaN	1	9	1	1	1	Epres	sigma	5
NaN	1	9	2	1	1	Epres	sigma	5
1261.993410	1	9	3	1	1	Epres	sigma	5
1223.611703	1	9	4	1	1	Epres	sigma	5
1231.072125	1	9	5	1	1	Epres	sigma	5
1233.834461	1	9	6	1	1	Epres	sigma	5
1232.866394	1	9	7	1	1	Epres	sigma	5
1244.367575	1	9	8	1	1	Epres	sigma	5
1302.982322	1	9	9	1	1	Epres	sigma	5
1226.658870	1	9	10	1	1	Epres	sigma	5
NaN	1	10	1	1	1	Epres	sigma	5
NaN	1	10	2	1	1	Epres	sigma	5
1355.808504	1	10	3	1	1	Epres	sigma	5
1295.534454	1	10	4	1	1	Epres	sigma	5
1258.481225	1	10	5	1	1	Epres	sigma	5
1275.932107	1	10	6	1	1	Epres	sigma	5
1330.941412	1	10	7	1	1	Epres	sigma	5
1416.488671	1	10	8	1	1	Epres	sigma	5
1540.853018	1	10	9	1	1	Epres	sigma	5
1517.902809	1	10	10	1	1	Epres	sigma	5
1060.394159	2	1	1	1	1	Epres	sigma	5
1056.622568	2	1	2	1	1	Epres	sigma	5
1074.648269	2	1	3	1	1	Epres	sigma	5
1067.377535	2	1	4	1	1	Epres	sigma	5
1062.676833	2	1	5	1	1	Epres	sigma	5
1051.691592	2	1	6	1	1	Epres	sigma	5
1055.263567	2	1	7	1	1	Epres	sigma	5
1051.856364	2	1	8	1	1	Epres	sigma	5
1049.104296	2	1	9	1	1	Epres	sigma	5
