tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Epres	sigma	0
NaN	1	1	2	1	1	Epres	sigma	0
NaN	1	1	3	1	1	Epres	sigma	0
NaN	1	1	4	1	1	Epres	sigma	0
NaN	1	1	5	1	1	Epres	sigma	0
NaN	1	1	6	1	1	Epres	sigma	0
NaN	1	1	7	1	1	Epres	sigma	0
NaN	1	1	8	1	1	Epres	sigma	0
NaN	1	1	9	1	1	Epres	sigma	0
NaN	1	1	10	1	1	Epres	sigma	0
NaN	1	2	1	1	1	Epres	sigma	0
NaN	1	2	2	1	1	Epres	sigma	0
NaN	1	2	3	1	1	Epres	sigma	0
NaN	1	2	4	1	1	Epres	sigma	0
NaN	1	2	5	1	1	Epres	sigma	0
NaN	1	2	6	1	1	Epres	sigma	0
NaN	1	2	7	1	1	Epres	sigma	0
NaN	1	2	8	1	1	Epres	sigma	0
NaN	1	2	9	1	1	Epres	sigma	0
NaN	1	2	10	1	1	Epres	sigma	0
NaN	1	3	1	1	1	Epres	sigma	0
723.396402	1	3	2	1	1	Epres	sigma	0
796.446637	1	3	3	1	1	Epres	sigma	0
764.705755	1	3	4	1	1	Epres	sigma	0
759.245827	1	3	5	1	1	Epres	sigma	0
774.174967	1	3	6	1	1	Epres	sigma	0
773.277235	1	3	7	1	1	Epres	sigma	0
784.748062	1	3	8	1	1	Epres	sigma	0
765.446262	1	3	9	1	1	Epres	sigma	0
752.615646	1	3	10	1	1	Epres	sigma	0
813.432293	1	4	1	1	1	Epres	sigma	0
802.044280	1	4	2	1	1	Epres	sigma	0
801.659198	1	4	3	1	1	Epres	sigma	0
813.335096	1	4	4	1	1	Epres	sigma	0
811.717312	1	4	5	1	1	Epres	sigma	0
824.628282	1	4	6	1	1	Epres	sigma	0
830.839190	1	4	7	1	1	Epres	sigma	0
827.045512	1	4	8	1	1	Epres	sigma	0
837.012877	1	4	9	1	1	Epres	sigma	0
828.833652	1	4	10	1	1	Epres	sigma	0
882.065551	1	5	1	1	1	Epres	sigma	0
842.041754	1	5	2	1	1	Epres	sigma	0
866.124919	1	5	3	1	1	Epres	sigma	0
855.368314	1	5	4	1	1	Epres	sigma	0
857.454852	1	5	5	1	1	Epres	sigma	0
863.898206	1	5	6	1	1	Epres	sigma	0
860.549519	1	5	7	1	1	Epres	sigma	0
878.318300	1	5	8	1	1	Epres	sigma	0
898.209481	1	5	9	1	1	Epres	sigma	0
917.804176	1	5	10	1	1	Epres	sigma	0
981.643366	1	6	1	1	1	Epres	sigma	0
979.430636	1	6	2	1	1	Epres	sigma	0
970.323808	1	6	3	1	1	Epres	sigma	0
971.805578	1	6	4	1	1	Epres	sigma	0
961.795225	1	6	5	1	1	Epres	sigma	0
967.914218	1	6	6	1	1	Epres	sigma	0
973.323092	1	6	7	1	1	Epres	sigma	0
988.368856	1	6	8	1	1	Epres	sigma	0
997.265517	1	6	9	1	1	Epres	sigma	0
999.230911	1	6	10	1	1	Epres	sigma	0
1147.970706	1	7	1	1	1	Epres	sigma	0
1163.807245	1	7	2	1	1	Epres	sigma	0
1182.607891	1	7	3	1	1	Epres	sigma	0
1172.391815	1	7	4	1	1	Epres	sigma	0
1165.045102	1	7	5	1	1	Epres	sigma	0
1156.248702	1	7	6	1	1	Epres	sigma	0
1162.338422	1	7	7	1	1	Epres	sigma	0
1178.799951	1	7	8	1	1	Epres	sigma	0
1188.200586	1	7	9	1	1	Epres	sigma	0
1180.894926	1	7	10	1	1	Epres	sigma	0
1446.791336	1	8	1	1	1	Epres	sigma	0
1490.899648	1	8	2	1	1	Epres	sigma	0
1500.474113	1	8	3	1	1	Epres	sigma	0
1496.960860	1	8	4	1	1	Epres	sigma	0
1483.735748	1	8	5	1	1	Epres	sigma	0
1473.226128	1	8	6	1	1	Epres	sigma	0
1481.169483	1	8	7	1	1	Epres	sigma	0
1499.917604	1	8	8	1	1	Epres	sigma	0
1515.601544	1	8	9	1	1	Epres	sigma	0
1472.326010	1	8	10	1	1	Epres	sigma	0
1869.840339	1	9	1	1	1	Epres	sigma	0
1952.171813	1	9	2	1	1	Epres	sigma	0
1961.902269	1	9	3	1	1	Epres	sigma	0
1931.171586	1	9	4	1	1	Epres	sigma	0
1904.093758	1	9	5	1	1	Epres	sigma	0
1897.044400	1	9	6	1	1	Epres	sigma	0
1918.190082	1	9	7	1	1	Epres	sigma	0
1964.062743	1	9	8	1	1	Epres	sigma	0
1977.068688	1	9	9	1	1	Epres	sigma	0
1919.701213	1	9	10	1	1	Epres	sigma	0
2366.306116	1	10	1	1	1	Epres	sigma	0
2482.312564	1	10	2	1	1	Epres	sigma	0
2461.020961	1	10	3	1	1	Epres	sigma	0
2416.366584	1	10	4	1	1	Epres	sigma	0
2336.750186	1	10	5	1	1	Epres	sigma	0
2330.576182	1	10	6	1	1	Epres	sigma	0
2372.096377	1	10	7	1	1	Epres	sigma	0
2438.226300	1	10	8	1	1	Epres	sigma	0
2507.233299	1	10	9	1	1	Epres	sigma	0
2430.591011	1	10	10	1	1	Epres	sigma	0
NaN	2	1	1	1	1	Epres	sigma	0
NaN	2	1	2	1	1	Epres	sigma	0
NaN	2	1	3	1	1	Epres	sigma	0
NaN	2	1	4	1	1	Epres	sigma	0
NaN	2	1	5	1	1	Epres	sigma	0
NaN	2	1	6	1	1	Epres	sigma	0
NaN	2	1	7	1	1	Epres	sigma	0
NaN	2	1	8	1	1	Epres	sigma	0
NaN	2	1	9	1	1	Epres	sigma	0
NaN	2	1	10	1	1	Epres	sigma	0
NaN	2	2	1	1	1	Epres	sigma	0
NaN	2	2	2	1	1	Epres	sigma	0
1029.047816	2	2	3	1	1	Epres	sigma	0
1032.692827	2	2	4	1	1	Epres	sigma	0
1022.606823	2	2	5	1	1	Epres	sigma	0
1035.629427	2	2	6	1	1	Epres	sigma	0
1049.506162	2	2	7	1	1	Epres	sigma	0
1037.279062	2	2	8	1	1	Epres	sigma	0
NaN	2	2	9	1	1	Epres	sigma	0
NaN	2	2	10	1	1	Epres	sigma	0
1055.757840	2	3	1	1	1	Epres	sigma	0
1054.347367	2	3	2	1	1	Epres	sigma	0
1096.928324	2	3	3	1	1	Epres	sigma	0
1070.835348	2	3	4	1	1	Epres	sigma	0
1084.245212	2	3	5	1	1	Epres	sigma	0
1077.717859	2	3	6	1	1	Epres	sigma	0
1076.501068	2	3	7	1	1	Epres	sigma	0
1077.885090	2	3	8	1	1	Epres	sigma	0
1082.582387	2	3	9	1	1	Epres	sigma	0
1056.360135	2	3	10	1	1	Epres	sigma	0
1196.015679	2	4	1	1	1	Epres	sigma	0
1182.837897	2	4	2	1	1	Epres	sigma	0
1174.044537	2	4	3	1	1	Epres	sigma	0
1167.932266	2	4	4	1	1	Epres	sigma	0
1152.136303	2	4	5	1	1	Epres	sigma	0
1158.967613	2	4	6	1	1	Epres	sigma	0
1178.094814	2	4	7	1	1	Epres	sigma	0
1161.439495	2	4	8	1	1	Epres	sigma	0
1144.492665	2	4	9	1	1	Epres	sigma	0
1141.380611	2	4	10	1	1	Epres	sigma	0
1242.183645	2	5	1	1	1	Epres	sigma	0
1234.407569	2	5	2	1	1	Epres	sigma	0
1243.503606	2	5	3	1	1	Epres	sigma	0
1234.870884	2	5	4	1	1	Epres	sigma	0
1239.585395	2	5	5	1	1	Epres	sigma	0
1224.693631	2	5	6	1	1	Epres	sigma	0
1244.711564	2	5	7	1	1	Epres	sigma	0
1256.191150	2	5	8	1	1	Epres	sigma	0
1265.317215	2	5	9	1	1	Epres	sigma	0
1238.987624	2	5	10	1	1	Epres	sigma	0
1318.897572	2	6	1	1	1	Epres	sigma	0
1341.658592	2	6	2	1	1	Epres	sigma	0
1348.467611	2	6	3	1	1	Epres	sigma	0
1343.347906	2	6	4	1	1	Epres	sigma	0
1340.539183	2	6	5	1	1	Epres	sigma	0
1344.028213	2	6	6	1	1	Epres	sigma	0
1352.221295	2	6	7	1	1	Epres	sigma	0
1369.548278	2	6	8	1	1	Epres	sigma	0
1393.948765	2	6	9	1	1	Epres	sigma	0
1384.980852	2	6	10	1	1	Epres	sigma	0
1575.811412	2	7	1	1	1	Epres	sigma	0
1586.836797	2	7	2	1	1	Epres	sigma	0
1595.329096	2	7	3	1	1	Epres	sigma	0
1586.683476	2	7	4	1	1	Epres	sigma	0
1580.898385	2	7	5	1	1	Epres	sigma	0
1580.904530	2	7	6	1	1	Epres	sigma	0
1589.404294	2	7	7	1	1	Epres	sigma	0
1611.371833	2	7	8	1	1	Epres	sigma	0
1635.799368	2	7	9	1	1	Epres	sigma	0
1628.759894	2	7	10	1	1	Epres	sigma	0
1946.919465	2	8	1	1	1	Epres	sigma	0
1977.433474	2	8	2	1	1	Epres	sigma	0
1980.200516	2	8	3	1	1	Epres	sigma	0
1967.038102	2	8	4	1	1	Epres	sigma	0
1956.942305	2	8	5	1	1	Epres	sigma	0
1954.916069	2	8	6	1	1	Epres	sigma	0
1983.155929	2	8	7	1	1	Epres	sigma	0
2008.378493	2	8	8	1	1	Epres	sigma	0
2022.660364	2	8	9	1	1	Epres	sigma	0
2004.457751	2	8	10	1	1	Epres	sigma	0
2361.156782	2	9	1	1	1	Epres	sigma	0
2449.444011	2	9	2	1	1	Epres	sigma	0
2464.899766	2	9	3	1	1	Epres	sigma	0
2414.630261	2	9	4	1	1	Epres	sigma	0
2384.079932	2	9	5	1	1	Epres	sigma	0
2388.066700	2	9	6	1	1	Epres	sigma	0
2421.220008	2	9	7	1	1	Epres	sigma	0
2482.370539	2	9	8	1	1	Epres	sigma	0
2539.688311	2	9	9	1	1	Epres	sigma	0
2503.968538	2	9	10	1	1	Epres	sigma	0
2775.938174	2	10	1	1	1	Epres	sigma	0
2900.406424	2	10	2	1	1	Epres	sigma	0
2960.743962	2	10	3	1	1	Epres	sigma	0
2882.973616	2	10	4	1	1	Epres	sigma	0
2821.886962	2	10	5	1	1	Epres	sigma	0
2801.209318	2	10	6	1	1	Epres	sigma	0
2849.657694	2	10	7	1	1	Epres	sigma	0
2956.172399	2	10	8	1	1	Epres	sigma	0
3059.204131	2	10	9	1	1	Epres	sigma	0
3084.767885	2	10	10	1	1	Epres	sigma	0
NaN	3	1	1	1	1	Epres	sigma	0
NaN	3	1	2	1	1	Epres	sigma	0
NaN	3	1	3	1	1	Epres	sigma	0
NaN	3	1	4	1	1	Epres	sigma	0
NaN	3	1	5	1	1	Epres	sigma	0
NaN	3	1	6	1	1	Epres	sigma	0
NaN	3	1	7	1	1	Epres	sigma	0
NaN	3	1	8	1	1	Epres	sigma	0
NaN	3	1	9	1	1	Epres	sigma	0
NaN	3	1	10	1	1	Epres	sigma	0
1382.955895	3	2	1	1	1	Epres	sigma	0
1456.629450	3	2	2	1	1	Epres	sigma	0
1479.855474	3	2	3	1	1	Epres	sigma	0
1400.242574	3	2	4	1	1	Epres	sigma	0
1414.578691	3	2	5	1	1	Epres	sigma	0
1399.091271	3	2	6	1	1	Epres	sigma	0
1429.195951	3	2	7	1	1	Epres	sigma	0
1455.316113	3	2	8	1	1	Epres	sigma	0
1436.427140	3	2	9	1	1	Epres	sigma	0
NaN	3	2	10	1	1	Epres	sigma	0
1390.735423	3	3	1	1	1	Epres	sigma	0
1454.966958	3	3	2	1	1	Epres	sigma	0
1476.726926	3	3	3	1	1	Epres	sigma	0
1496.532145	3	3	4	1	1	Epres	sigma	0
