tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.029664	1	1	1	1	1	L	mean	5
0.029612	1	1	2	1	1	L	mean	5
0.029802	1	1	3	1	1	L	mean	5
0.029830	1	1	4	1	1	L	mean	5
0.029784	1	1	5	1	1	L	mean	5
0.029750	1	1	6	1	1	L	mean	5
0.029708	1	1	7	1	1	L	mean	5
0.029660	1	1	8	1	1	L	mean	5
0.029697	1	1	9	1	1	L	mean	5
0.029668	1	1	10	1	1	L	mean	5
0.029946	1	2	1	1	1	L	mean	5
0.029687	1	2	2	1	1	L	mean	5
0.029827	1	2	3	1	1	L	mean	5
0.029776	1	2	4	1	1	L	mean	5
0.029769	1	2	5	1	1	L	mean	5
0.029744	1	2	6	1	1	L	mean	5
0.029721	1	2	7	1	1	L	mean	5
0.029703	1	2	8	1	1	L	mean	5
0.029704	1	2	9	1	1	L	mean	5
0.029679	1	2	10	1	1	L	mean	5
0.029777	1	3	1	1	1	L	mean	5
0.029763	1	3	2	1	1	L	mean	5
0.029758	1	3	3	1	1	L	mean	5
0.029760	1	3	4	1	1	L	mean	5
0.029731	1	3	5	1	1	L	mean	5
0.029748	1	3	6	1	1	L	mean	5
0.029741	1	3	7	1	1	L	mean	5
0.029739	1	3	8	1	1	L	mean	5
0.029725	1	3	9	1	1	L	mean	5
0.029696	1	3	10	1	1	L	mean	5
0.029768	1	4	1	1	1	L	mean	5
0.029856	1	4	2	1	1	L	mean	5
0.029783	1	4	3	1	1	L	mean	5
0.029760	1	4	4	1	1	L	mean	5
0.029744	1	4	5	1	1	L	mean	5
0.029754	1	4	6	1	1	L	mean	5
0.029750	1	4	7	1	1	L	mean	5
0.029739	1	4	8	1	1	L	mean	5
0.029749	1	4	9	1	1	L	mean	5
0.029739	1	4	10	1	1	L	mean	5
0.029826	1	5	1	1	1	L	mean	5
0.029717	1	5	2	1	1	L	mean	5
0.029756	1	5	3	1	1	L	mean	5
0.029771	1	5	4	1	1	L	mean	5
0.029774	1	5	5	1	1	L	mean	5
0.029793	1	5	6	1	1	L	mean	5
0.029802	1	5	7	1	1	L	mean	5
0.029777	1	5	8	1	1	L	mean	5
0.029776	1	5	9	1	1	L	mean	5
0.029769	1	5	10	1	1	L	mean	5
0.029599	1	6	1	1	1	L	mean	5
0.029663	1	6	2	1	1	L	mean	5
0.029745	1	6	3	1	1	L	mean	5
0.029781	1	6	4	1	1	L	mean	5
0.029830	1	6	5	1	1	L	mean	5
0.029821	1	6	6	1	1	L	mean	5
0.029818	1	6	7	1	1	L	mean	5
0.029854	1	6	8	1	1	L	mean	5
0.029796	1	6	9	1	1	L	mean	5
0.029824	1	6	10	1	1	L	mean	5
0.029780	1	7	1	1	1	L	mean	5
0.029804	1	7	2	1	1	L	mean	5
0.029692	1	7	3	1	1	L	mean	5
0.029804	1	7	4	1	1	L	mean	5
0.029860	1	7	5	1	1	L	mean	5
0.029880	1	7	6	1	1	L	mean	5
0.029873	1	7	7	1	1	L	mean	5
0.029837	1	7	8	1	1	L	mean	5
0.029836	1	7	9	1	1	L	mean	5
0.029809	1	7	10	1	1	L	mean	5
NaN	1	8	1	1	1	L	mean	5
0.029567	1	8	2	1	1	L	mean	5
0.029736	1	8	3	1	1	L	mean	5
0.029874	1	8	4	1	1	L	mean	5
0.029915	1	8	5	1	1	L	mean	5
0.029903	1	8	6	1	1	L	mean	5
0.029915	1	8	7	1	1	L	mean	5
0.029857	1	8	8	1	1	L	mean	5
0.029838	1	8	9	1	1	L	mean	5
0.029844	1	8	10	1	1	L	mean	5
NaN	1	9	1	1	1	L	mean	5
NaN	1	9	2	1	1	L	mean	5
0.029705	1	9	3	1	1	L	mean	5
0.029835	1	9	4	1	1	L	mean	5
0.029969	1	9	5	1	1	L	mean	5
0.029946	1	9	6	1	1	L	mean	5
0.029843	1	9	7	1	1	L	mean	5
0.029872	1	9	8	1	1	L	mean	5
0.029794	1	9	9	1	1	L	mean	5
0.029791	1	9	10	1	1	L	mean	5
NaN	1	10	1	1	1	L	mean	5
NaN	1	10	2	1	1	L	mean	5
0.029687	1	10	3	1	1	L	mean	5
0.029862	1	10	4	1	1	L	mean	5
0.029873	1	10	5	1	1	L	mean	5
0.029928	1	10	6	1	1	L	mean	5
0.029895	1	10	7	1	1	L	mean	5
0.029785	1	10	8	1	1	L	mean	5
0.029688	1	10	9	1	1	L	mean	5
0.029733	1	10	10	1	1	L	mean	5
0.041589	2	1	1	1	1	L	mean	5
0.041461	2	1	2	1	1	L	mean	5
0.041386	2	1	3	1	1	L	mean	5
0.041312	2	1	4	1	1	L	mean	5
0.041296	2	1	5	1	1	L	mean	5
0.041318	2	1	6	1	1	L	mean	5
0.041298	2	1	7	1	1	L	mean	5
0.041275	2	1	8	1	1	L	mean	5
0.041278	2	1	9	1	1	L	mean	5
0.041345	2	1	10	1	1	L	mean	5
0.041392	2	2	1	1	1	L	mean	5
0.041548	2	2	2	1	1	L	mean	5
0.041455	2	2	3	1	1	L	mean	5
0.041367	2	2	4	1	1	L	mean	5
0.041383	2	2	5	1	1	L	mean	5
0.041334	2	2	6	1	1	L	mean	5
0.041353	2	2	7	1	1	L	mean	5
0.041351	2	2	8	1	1	L	mean	5
0.041346	2	2	9	1	1	L	mean	5
0.041324	2	2	10	1	1	L	mean	5
0.041420	2	3	1	1	1	L	mean	5
0.041471	2	3	2	1	1	L	mean	5
0.041419	2	3	3	1	1	L	mean	5
0.041413	2	3	4	1	1	L	mean	5
0.041380	2	3	5	1	1	L	mean	5
0.041413	2	3	6	1	1	L	mean	5
0.041393	2	3	7	1	1	L	mean	5
0.041366	2	3	8	1	1	L	mean	5
0.041381	2	3	9	1	1	L	mean	5
0.041346	2	3	10	1	1	L	mean	5
0.041406	2	4	1	1	1	L	mean	5
0.041431	2	4	2	1	1	L	mean	5
0.041500	2	4	3	1	1	L	mean	5
0.041446	2	4	4	1	1	L	mean	5
0.041444	2	4	5	1	1	L	mean	5
0.041446	2	4	6	1	1	L	mean	5
0.041468	2	4	7	1	1	L	mean	5
0.041460	2	4	8	1	1	L	mean	5
0.041454	2	4	9	1	1	L	mean	5
0.041430	2	4	10	1	1	L	mean	5
0.041608	2	5	1	1	1	L	mean	5
0.041649	2	5	2	1	1	L	mean	5
0.041500	2	5	3	1	1	L	mean	5
0.041495	2	5	4	1	1	L	mean	5
0.041499	2	5	5	1	1	L	mean	5
0.041523	2	5	6	1	1	L	mean	5
0.041532	2	5	7	1	1	L	mean	5
0.041512	2	5	8	1	1	L	mean	5
0.041510	2	5	9	1	1	L	mean	5
0.041525	2	5	10	1	1	L	mean	5
0.041374	2	6	1	1	1	L	mean	5
0.041470	2	6	2	1	1	L	mean	5
0.041493	2	6	3	1	1	L	mean	5
0.041536	2	6	4	1	1	L	mean	5
0.041586	2	6	5	1	1	L	mean	5
0.041602	2	6	6	1	1	L	mean	5
0.041573	2	6	7	1	1	L	mean	5
0.041577	2	6	8	1	1	L	mean	5
0.041568	2	6	9	1	1	L	mean	5
0.041554	2	6	10	1	1	L	mean	5
0.041593	2	7	1	1	1	L	mean	5
0.041554	2	7	2	1	1	L	mean	5
0.041509	2	7	3	1	1	L	mean	5
0.041577	2	7	4	1	1	L	mean	5
0.041630	2	7	5	1	1	L	mean	5
0.041661	2	7	6	1	1	L	mean	5
0.041622	2	7	7	1	1	L	mean	5
0.041604	2	7	8	1	1	L	mean	5
0.041625	2	7	9	1	1	L	mean	5
0.041600	2	7	10	1	1	L	mean	5
NaN	2	8	1	1	1	L	mean	5
0.041329	2	8	2	1	1	L	mean	5
0.041505	2	8	3	1	1	L	mean	5
0.041637	2	8	4	1	1	L	mean	5
0.041616	2	8	5	1	1	L	mean	5
0.041617	2	8	6	1	1	L	mean	5
0.041675	2	8	7	1	1	L	mean	5
0.041621	2	8	8	1	1	L	mean	5
0.041567	2	8	9	1	1	L	mean	5
0.041581	2	8	10	1	1	L	mean	5
NaN	2	9	1	1	1	L	mean	5
NaN	2	9	2	1	1	L	mean	5
0.041368	2	9	3	1	1	L	mean	5
0.041558	2	9	4	1	1	L	mean	5
0.041697	2	9	5	1	1	L	mean	5
0.041685	2	9	6	1	1	L	mean	5
0.041577	2	9	7	1	1	L	mean	5
0.041561	2	9	8	1	1	L	mean	5
0.041604	2	9	9	1	1	L	mean	5
0.041531	2	9	10	1	1	L	mean	5
NaN	2	10	1	1	1	L	mean	5
NaN	2	10	2	1	1	L	mean	5
0.041272	2	10	3	1	1	L	mean	5
0.041537	2	10	4	1	1	L	mean	5
0.041496	2	10	5	1	1	L	mean	5
0.041613	2	10	6	1	1	L	mean	5
0.041511	2	10	7	1	1	L	mean	5
0.041412	2	10	8	1	1	L	mean	5
0.041470	2	10	9	1	1	L	mean	5
0.041305	2	10	10	1	1	L	mean	5
0.057765	3	1	1	1	1	L	mean	5
0.057817	3	1	2	1	1	L	mean	5
0.057788	3	1	3	1	1	L	mean	5
0.057811	3	1	4	1	1	L	mean	5
0.057785	3	1	5	1	1	L	mean	5
