tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
NaN	2	2	1	1	1	Eabs	sigma	1	99
NaN	2	2	2	1	1	Eabs	sigma	1	189
146.079074	2	2	3	1	1	Eabs	sigma	1	241
98.240260	2	2	4	1	1	Eabs	sigma	1	414
106.294833	2	2	5	1	1	Eabs	sigma	1	470
122.667237	2	2	6	1	1	Eabs	sigma	1	437
111.394402	2	2	7	1	1	Eabs	sigma	1	339
76.973056	2	2	8	1	1	Eabs	sigma	1	234
NaN	2	2	9	1	1	Eabs	sigma	1	122
NaN	2	2	10	1	1	Eabs	sigma	1	30
183.608533	2	3	1	1	1	Eabs	sigma	1	406
199.082424	2	3	2	1	1	Eabs	sigma	1	696
195.755043	2	3	3	1	1	Eabs	sigma	1	1272
181.464474	2	3	4	1	1	Eabs	sigma	1	1850
192.723408	2	3	5	1	1	Eabs	sigma	1	2414
198.604544	2	3	6	1	1	Eabs	sigma	1	2615
180.661618	2	3	7	1	1	Eabs	sigma	1	2399
164.404893	2	3	8	1	1	Eabs	sigma	1	2068
157.842234	2	3	9	1	1	Eabs	sigma	1	1462
136.155279	2	3	10	1	1	Eabs	sigma	1	857
304.549567	2	4	1	1	1	Eabs	sigma	1	538
345.593091	2	4	2	1	1	Eabs	sigma	1	1208
305.253623	2	4	3	1	1	Eabs	sigma	1	2495
298.806986	2	4	4	1	1	Eabs	sigma	1	4308
273.171729	2	4	5	1	1	Eabs	sigma	1	6567
281.753282	2	4	6	1	1	Eabs	sigma	1	7888
298.028377	2	4	7	1	1	Eabs	sigma	1	7914
263.871496	2	4	8	1	1	Eabs	sigma	1	6935
242.484039	2	4	9	1	1	Eabs	sigma	1	5737
217.154996	2	4	10	1	1	Eabs	sigma	1	4079
419.776126	2	5	1	1	1	Eabs	sigma	1	1482
371.496618	2	5	2	1	1	Eabs	sigma	1	3890
407.736129	2	5	3	1	1	Eabs	sigma	1	8500
383.152134	2	5	4	1	1	Eabs	sigma	1	15418
369.736037	2	5	5	1	1	Eabs	sigma	1	23176
370.888930	2	5	6	1	1	Eabs	sigma	1	27845
376.795804	2	5	7	1	1	Eabs	sigma	1	26418
374.838496	2	5	8	1	1	Eabs	sigma	1	22452
355.132398	2	5	9	1	1	Eabs	sigma	1	17374
310.762956	2	5	10	1	1	Eabs	sigma	1	12253
458.409468	2	6	1	1	1	Eabs	sigma	1	4603
500.289876	2	6	2	1	1	Eabs	sigma	1	12971
488.590057	2	6	3	1	1	Eabs	sigma	1	29808
486.224531	2	6	4	1	1	Eabs	sigma	1	56702
478.937700	2	6	5	1	1	Eabs	sigma	1	85713
476.607000	2	6	6	1	1	Eabs	sigma	1	101862
482.946130	2	6	7	1	1	Eabs	sigma	1	97311
471.120220	2	6	8	1	1	Eabs	sigma	1	79684
458.547091	2	6	9	1	1	Eabs	sigma	1	57218
440.829216	2	6	10	1	1	Eabs	sigma	1	34971
718.076488	2	7	1	1	1	Eabs	sigma	1	9119
734.173829	2	7	2	1	1	Eabs	sigma	1	24447
721.140185	2	7	3	1	1	Eabs	sigma	1	54975
734.881459	2	7	4	1	1	Eabs	sigma	1	104554
731.029077	2	7	5	1	1	Eabs	sigma	1	164367
706.802608	2	7	6	1	1	Eabs	sigma	1	201882
694.387191	2	7	7	1	1	Eabs	sigma	1	198794
680.544396	2	7	8	1	1	Eabs	sigma	1	166821
665.128644	2	7	9	1	1	Eabs	sigma	1	123402
626.454260	2	7	10	1	1	Eabs	sigma	1	77214
1069.016876	2	8	1	1	1	Eabs	sigma	1	11491
1150.303427	2	8	2	1	1	Eabs	sigma	1	29739
1134.979137	2	8	3	1	1	Eabs	sigma	1	66405
1128.332308	2	8	4	1	1	Eabs	sigma	1	125444
1104.439853	2	8	5	1	1	Eabs	sigma	1	194424
1081.522620	2	8	6	1	1	Eabs	sigma	1	240446
1061.147054	2	8	7	1	1	Eabs	sigma	1	239234
1049.016337	2	8	8	1	1	Eabs	sigma	1	203546
991.939577	2	8	9	1	1	Eabs	sigma	1	155583
925.254001	2	8	10	1	1	Eabs	sigma	1	100375
1660.438073	2	9	1	1	1	Eabs	sigma	1	9297
1725.538721	2	9	2	1	1	Eabs	sigma	1	23151
1776.675418	2	9	3	1	1	Eabs	sigma	1	53311
1741.132618	2	9	4	1	1	Eabs	sigma	1	103282
1658.655368	2	9	5	1	1	Eabs	sigma	1	162342
1610.998801	2	9	6	1	1	Eabs	sigma	1	200512
1566.457693	2	9	7	1	1	Eabs	sigma	1	200374
1540.370518	2	9	8	1	1	Eabs	sigma	1	171997
1493.204922	2	9	9	1	1	Eabs	sigma	1	130447
1371.927684	2	9	10	1	1	Eabs	sigma	1	83517
2577.217790	2	10	1	1	1	Eabs	sigma	1	4403
2719.364060	2	10	2	1	1	Eabs	sigma	1	11506
2734.014009	2	10	3	1	1	Eabs	sigma	1	28085
2617.054742	2	10	4	1	1	Eabs	sigma	1	57637
2459.033100	2	10	5	1	1	Eabs	sigma	1	93069
2356.202005	2	10	6	1	1	Eabs	sigma	1	117149
2319.611001	2	10	7	1	1	Eabs	sigma	1	120151
2268.987315	2	10	8	1	1	Eabs	sigma	1	102064
2145.457906	2	10	9	1	1	Eabs	sigma	1	74959
1931.610725	2	10	10	1	1	Eabs	sigma	1	46273
NaN	3	1	1	1	1	Eabs	sigma	1	30
NaN	3	1	2	1	1	Eabs	sigma	1	64
NaN	3	1	3	1	1	Eabs	sigma	1	86
NaN	3	1	4	1	1	Eabs	sigma	1	102
NaN	3	1	5	1	1	Eabs	sigma	1	78
NaN	3	1	6	1	1	Eabs	sigma	1	63
NaN	3	1	7	1	1	Eabs	sigma	1	58
NaN	3	1	8	1	1	Eabs	sigma	1	22
NaN	3	1	9	1	1	Eabs	sigma	1	2
NaN	3	1	10	1	1	Eabs	sigma	1	0
147.941522	3	2	1	1	1	Eabs	sigma	1	255
272.967853	3	2	2	1	1	Eabs	sigma	1	419
156.911944	3	2	3	1	1	Eabs	sigma	1	707
155.568537	3	2	4	1	1	Eabs	sigma	1	921
147.769836	3	2	5	1	1	Eabs	sigma	1	1108
170.471186	3	2	6	1	1	Eabs	sigma	1	1044
162.170068	3	2	7	1	1	Eabs	sigma	1	822
163.503047	3	2	8	1	1	Eabs	sigma	1	639
136.345188	3	2	9	1	1	Eabs	sigma	1	361
NaN	3	2	10	1	1	Eabs	sigma	1	128
233.899017	3	3	1	1	1	Eabs	sigma	1	400
260.292953	3	3	2	1	1	Eabs	sigma	1	860
268.442517	3	3	3	1	1	Eabs	sigma	1	1576
256.175180	3	3	4	1	1	Eabs	sigma	1	2661
253.963368	3	3	5	1	1	Eabs	sigma	1	3840
252.181786	3	3	6	1	1	Eabs	sigma	1	4104
255.801613	3	3	7	1	1	Eabs	sigma	1	4079
259.534689	3	3	8	1	1	Eabs	sigma	1	3505
214.424636	3	3	9	1	1	Eabs	sigma	1	2638
202.185311	3	3	10	1	1	Eabs	sigma	1	1615
423.431094	3	4	1	1	1	Eabs	sigma	1	408
404.218988	3	4	2	1	1	Eabs	sigma	1	1145
403.055510	3	4	3	1	1	Eabs	sigma	1	2501
420.927390	3	4	4	1	1	Eabs	sigma	1	4650
409.120991	3	4	5	1	1	Eabs	sigma	1	7814
433.238026	3	4	6	1	1	Eabs	sigma	1	9838
395.025437	3	4	7	1	1	Eabs	sigma	1	9917
375.709641	3	4	8	1	1	Eabs	sigma	1	9146
361.843124	3	4	9	1	1	Eabs	sigma	1	7706
308.410979	3	4	10	1	1	Eabs	sigma	1	5751
493.345436	3	5	1	1	1	Eabs	sigma	1	1747
619.882261	3	5	2	1	1	Eabs	sigma	1	4329
516.631977	3	5	3	1	1	Eabs	sigma	1	9406
514.111392	3	5	4	1	1	Eabs	sigma	1	16857
525.304114	3	5	5	1	1	Eabs	sigma	1	25768
528.518225	3	5	6	1	1	Eabs	sigma	1	30755
524.843377	3	5	7	1	1	Eabs	sigma	1	30305
519.676614	3	5	8	1	1	Eabs	sigma	1	26074
495.146241	3	5	9	1	1	Eabs	sigma	1	21443
451.882766	3	5	10	1	1	Eabs	sigma	1	15081
630.549802	3	6	1	1	1	Eabs	sigma	1	5469
651.579898	3	6	2	1	1	Eabs	sigma	1	14954
659.540482	3	6	3	1	1	Eabs	sigma	1	33825
655.342555	3	6	4	1	1	Eabs	sigma	1	63036
658.961718	3	6	5	1	1	Eabs	sigma	1	95573
653.775306	3	6	6	1	1	Eabs	sigma	1	113613
649.528542	3	6	7	1	1	Eabs	sigma	1	108654
649.767690	3	6	8	1	1	Eabs	sigma	1	88386
634.896815	3	6	9	1	1	Eabs	sigma	1	63225
616.655349	3	6	10	1	1	Eabs	sigma	1	39772
965.132416	3	7	1	1	1	Eabs	sigma	1	10800
969.733162	3	7	2	1	1	Eabs	sigma	1	29029
986.062527	3	7	3	1	1	Eabs	sigma	1	65554
970.198240	3	7	4	1	1	Eabs	sigma	1	124005
946.716411	3	7	5	1	1	Eabs	sigma	1	192217
945.914981	3	7	6	1	1	Eabs	sigma	1	236934
926.664839	3	7	7	1	1	Eabs	sigma	1	231741
895.836882	3	7	8	1	1	Eabs	sigma	1	192910
885.903746	3	7	9	1	1	Eabs	sigma	1	141041
831.380055	3	7	10	1	1	Eabs	sigma	1	87140
1424.314033	3	8	1	1	1	Eabs	sigma	1	15320
1455.528095	3	8	2	1	1	Eabs	sigma	1	38655
1476.966054	3	8	3	1	1	Eabs	sigma	1	84706
1486.351350	3	8	4	1	1	Eabs	sigma	1	159459
1445.754635	3	8	5	1	1	Eabs	sigma	1	247703
1421.638918	3	8	6	1	1	Eabs	sigma	1	304222
1382.905474	3	8	7	1	1	Eabs	sigma	1	299588
1358.634182	3	8	8	1	1	Eabs	sigma	1	254987
1314.291304	3	8	9	1	1	Eabs	sigma	1	190133
1220.790848	3	8	10	1	1	Eabs	sigma	1	120411
2182.688037	3	9	1	1	1	Eabs	sigma	1	13163
2219.422466	3	9	2	1	1	Eabs	sigma	1	33281
2231.841522	3	9	3	1	1	Eabs	sigma	1	75589
2202.712372	3	9	4	1	1	Eabs	sigma	1	145958
2145.938967	3	9	5	1	1	Eabs	sigma	1	227716
2083.069576	3	9	6	1	1	Eabs	sigma	1	280547
2030.535937	3	9	7	1	1	Eabs	sigma	1	279652
2007.707755	3	9	8	1	1	Eabs	sigma	1	238653
1916.090577	3	9	9	1	1	Eabs	sigma	1	177225
1788.425216	3	9	10	1	1	Eabs	sigma	1	111843
3235.084260	3	10	1	1	1	Eabs	sigma	1	7092
3357.946854	3	10	2	1	1	Eabs	sigma	1	18255
3380.923864	3	10	3	1	1	Eabs	sigma	1	43571
3243.028684	3	10	4	1	1	Eabs	sigma	1	89122
3050.587208	3	10	5	1	1	Eabs	sigma	1	142668
2978.561197	3	10	6	1	1	Eabs	sigma	1	181106
2906.651639	3	10	7	1	1	Eabs	sigma	1	186207
2845.853835	3	10	8	1	1	Eabs	sigma	1	161179
2730.307015	3	10	9	1	1	Eabs	sigma	1	117582
2473.708614	3	10	10	1	1	Eabs	sigma	1	70754
70.049960	4	1	1	1	1	Eabs	sigma	1	201
96.540215	4	1	2	1	1	Eabs	sigma	1	318
81.941284	4	1	3	1	1	Eabs	sigma	1	413
87.345337	4	1	4	1	1	Eabs	sigma	1	497
87.836917	4	1	5	1	1	Eabs	sigma	1	460
102.341952	4	1	6	1	1	Eabs	sigma	1	372
90.492788	4	1	7	1	1	Eabs	sigma	1	240
NaN	4	1	8	1	1	Eabs	sigma	1	159
NaN	4	1	9	1	1	Eabs	sigma	1	64
NaN	4	1	10	1	1	Eabs	sigma	1	13
202.018908	4	2	1	1	1	Eabs	sigma	1	558
170.662656	4	2	2	1	1	Eabs	sigma	1	985
161.538207	4	2	3	1	1	Eabs	sigma	1	1670
162.222595	4	2	4	1	1	Eabs	sigma	1	2289
218.716441	4	2	5	1	1	Eabs	sigma	1	2644
171.775499	4	2	6	1	1	Eabs	sigma	1	2521
181.269171	4	2	7	1	1	Eabs	sigma	1	2054
173.553188	4	2	8	1	1	Eabs	sigma	1	1623
148.390924	4	2	9	1	1	Eabs	sigma	1	1099
161.452305	4	2	10	1	1	Eabs	sigma	1	618
319.390649	4	3	1	1	1	Eabs	sigma	1	340
485.999095	4	3	2	1	1	Eabs	sigma	1	913
340.056058	4	3	3	1	1	Eabs	sigma	1	1772
360.570471	4	3	4	1	1	Eabs	sigma	1	3534
367.027769	4	3	5	1	1	Eabs	sigma	1	5536
341.531144	4	3	6	1	1	Eabs	sigma	1	6049
341.528762	4	3	7	1	1	Eabs	sigma	1	5929
309.786006	4	3	8	1	1	Eabs	sigma	1	5369
273.484499	4	3	9	1	1	Eabs	sigma	1	4579
262.070197	4	3	10	1	1	Eabs	sigma	1	3065
605.717934	4	4	1	1	1	Eabs	sigma	1	709
561.244455	4	4	2	1	1	Eabs	sigma	1	1515
528.819028	4	4	3	1	1	Eabs	sigma	1	3240
582.928591	4	4	4	1	1	Eabs	sigma	1	6044
573.591396	4	4	5	1	1	Eabs	sigma	1	9920
540.548582	4	4	6	1	1	Eabs	sigma	1	12286
518.717275	4	4	7	1	1	Eabs	sigma	1	12492
513.551159	4	4	8	1	1	Eabs	sigma	1	11416
478.854745	4	4	9	1	1	Eabs	sigma	1	9833
393.410630	4	4	10	1	1	Eabs	sigma	1	7754
690.899715	4	5	1	1	1	Eabs	sigma	1	2025
737.588851	4	5	2	1	1	Eabs	sigma	1	4836
701.977387	4	5	3	1	1	Eabs	sigma	1	9733
