tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
2855.759067	1	10	9	1	1	Eabs	mean	1	42293
2698.688723	1	10	10	1	1	Eabs	mean	1	27033
NaN	2	1	1	1	1	Eabs	mean	1	4
NaN	2	1	2	1	1	Eabs	mean	1	10
NaN	2	1	3	1	1	Eabs	mean	1	5
NaN	2	1	4	1	1	Eabs	mean	1	13
NaN	2	1	5	1	1	Eabs	mean	1	11
NaN	2	1	6	1	1	Eabs	mean	1	3
NaN	2	1	7	1	1	Eabs	mean	1	1
NaN	2	1	8	1	1	Eabs	mean	1	0
NaN	2	1	9	1	1	Eabs	mean	1	0
NaN	2	1	10	1	1	Eabs	mean	1	0
NaN	2	2	1	1	1	Eabs	mean	1	99
NaN	2	2	2	1	1	Eabs	mean	1	189
326.527346	2	2	3	1	1	Eabs	mean	1	241
304.465915	2	2	4	1	1	Eabs	mean	1	414
305.110585	2	2	5	1	1	Eabs	mean	1	470
299.004600	2	2	6	1	1	Eabs	mean	1	437
291.795197	2	2	7	1	1	Eabs	mean	1	339
281.134320	2	2	8	1	1	Eabs	mean	1	234
NaN	2	2	9	1	1	Eabs	mean	1	122
NaN	2	2	10	1	1	Eabs	mean	1	30
434.508607	2	3	1	1	1	Eabs	mean	1	406
439.421613	2	3	2	1	1	Eabs	mean	1	696
446.758705	2	3	3	1	1	Eabs	mean	1	1272
436.655963	2	3	4	1	1	Eabs	mean	1	1850
428.958649	2	3	5	1	1	Eabs	mean	1	2414
421.185160	2	3	6	1	1	Eabs	mean	1	2615
408.009845	2	3	7	1	1	Eabs	mean	1	2399
398.204079	2	3	8	1	1	Eabs	mean	1	2068
379.969344	2	3	9	1	1	Eabs	mean	1	1462
348.479301	2	3	10	1	1	Eabs	mean	1	857
652.372171	2	4	1	1	1	Eabs	mean	1	538
670.031461	2	4	2	1	1	Eabs	mean	1	1208
656.453799	2	4	3	1	1	Eabs	mean	1	2495
639.823477	2	4	4	1	1	Eabs	mean	1	4308
607.002192	2	4	5	1	1	Eabs	mean	1	6567
597.408806	2	4	6	1	1	Eabs	mean	1	7888
588.444139	2	4	7	1	1	Eabs	mean	1	7914
556.275171	2	4	8	1	1	Eabs	mean	1	6935
525.105164	2	4	9	1	1	Eabs	mean	1	5737
486.964873	2	4	10	1	1	Eabs	mean	1	4079
959.422394	2	5	1	1	1	Eabs	mean	1	1482
967.882997	2	5	2	1	1	Eabs	mean	1	3890
956.987508	2	5	3	1	1	Eabs	mean	1	8500
927.265884	2	5	4	1	1	Eabs	mean	1	15418
893.730205	2	5	5	1	1	Eabs	mean	1	23176
860.841504	2	5	6	1	1	Eabs	mean	1	27845
839.541919	2	5	7	1	1	Eabs	mean	1	26418
802.079372	2	5	8	1	1	Eabs	mean	1	22452
759.551152	2	5	9	1	1	Eabs	mean	1	17374
684.154443	2	5	10	1	1	Eabs	mean	1	12253
1315.967191	2	6	1	1	1	Eabs	mean	1	4603
1327.394041	2	6	2	1	1	Eabs	mean	1	12971
1319.626778	2	6	3	1	1	Eabs	mean	1	29808
1289.041104	2	6	4	1	1	Eabs	mean	1	56702
1248.596893	2	6	5	1	1	Eabs	mean	1	85713
1218.187553	2	6	6	1	1	Eabs	mean	1	101862
1190.011439	2	6	7	1	1	Eabs	mean	1	97311
1148.411305	2	6	8	1	1	Eabs	mean	1	79684
1094.804541	2	6	9	1	1	Eabs	mean	1	57218
998.415857	2	6	10	1	1	Eabs	mean	1	34971
1774.779964	2	7	1	1	1	Eabs	mean	1	9119
1809.471233	2	7	2	1	1	Eabs	mean	1	24447
1790.823853	2	7	3	1	1	Eabs	mean	1	54975
1759.762146	2	7	4	1	1	Eabs	mean	1	104554
1716.317908	2	7	5	1	1	Eabs	mean	1	164367
1671.848858	2	7	6	1	1	Eabs	mean	1	201882
1629.201270	2	7	7	1	1	Eabs	mean	1	198794
1582.217171	2	7	8	1	1	Eabs	mean	1	166821
1513.112094	2	7	9	1	1	Eabs	mean	1	123402
1408.054242	2	7	10	1	1	Eabs	mean	1	77214
2392.978105	2	8	1	1	1	Eabs	mean	1	11491
2462.116720	2	8	2	1	1	Eabs	mean	1	29739
2476.370182	2	8	3	1	1	Eabs	mean	1	66405
2439.360780	2	8	4	1	1	Eabs	mean	1	125444
2380.439845	2	8	5	1	1	Eabs	mean	1	194424
2322.484184	2	8	6	1	1	Eabs	mean	1	240446
2258.056925	2	8	7	1	1	Eabs	mean	1	239234
2191.573872	2	8	8	1	1	Eabs	mean	1	203546
2094.021941	2	8	9	1	1	Eabs	mean	1	155583
1954.132684	2	8	10	1	1	Eabs	mean	1	100375
3117.045950	2	9	1	1	1	Eabs	mean	1	9297
3307.577295	2	9	2	1	1	Eabs	mean	1	23151
3392.143516	2	9	3	1	1	Eabs	mean	1	53311
3356.518587	2	9	4	1	1	Eabs	mean	1	103282
3263.700668	2	9	5	1	1	Eabs	mean	1	162342
3172.102409	2	9	6	1	1	Eabs	mean	1	200512
3072.066622	2	9	7	1	1	Eabs	mean	1	200374
2984.125829	2	9	8	1	1	Eabs	mean	1	171997
2878.834827	2	9	9	1	1	Eabs	mean	1	130447
2699.810590	2	9	10	1	1	Eabs	mean	1	83517
4081.578246	2	10	1	1	1	Eabs	mean	1	4403
4558.483861	2	10	2	1	1	Eabs	mean	1	11506
4750.726175	2	10	3	1	1	Eabs	mean	1	28085
4620.424683	2	10	4	1	1	Eabs	mean	1	57637
4436.581485	2	10	5	1	1	Eabs	mean	1	93069
4242.973188	2	10	6	1	1	Eabs	mean	1	117149
4066.419775	2	10	7	1	1	Eabs	mean	1	120151
3970.470775	2	10	8	1	1	Eabs	mean	1	102064
3843.839734	2	10	9	1	1	Eabs	mean	1	74959
3669.595946	2	10	10	1	1	Eabs	mean	1	46273
NaN	3	1	1	1	1	Eabs	mean	1	30
NaN	3	1	2	1	1	Eabs	mean	1	64
NaN	3	1	3	1	1	Eabs	mean	1	86
NaN	3	1	4	1	1	Eabs	mean	1	102
NaN	3	1	5	1	1	Eabs	mean	1	78
NaN	3	1	6	1	1	Eabs	mean	1	63
NaN	3	1	7	1	1	Eabs	mean	1	58
NaN	3	1	8	1	1	Eabs	mean	1	22
NaN	3	1	9	1	1	Eabs	mean	1	2
NaN	3	1	10	1	1	Eabs	mean	1	0
430.509649	3	2	1	1	1	Eabs	mean	1	255
453.394871	3	2	2	1	1	Eabs	mean	1	419
431.545492	3	2	3	1	1	Eabs	mean	1	707
417.759378	3	2	4	1	1	Eabs	mean	1	921
409.977054	3	2	5	1	1	Eabs	mean	1	1108
410.689116	3	2	6	1	1	Eabs	mean	1	1044
404.113716	3	2	7	1	1	Eabs	mean	1	822
398.156087	3	2	8	1	1	Eabs	mean	1	639
373.681072	3	2	9	1	1	Eabs	mean	1	361
NaN	3	2	10	1	1	Eabs	mean	1	128
585.343138	3	3	1	1	1	Eabs	mean	1	400
583.308578	3	3	2	1	1	Eabs	mean	1	860
598.472036	3	3	3	1	1	Eabs	mean	1	1576
582.899784	3	3	4	1	1	Eabs	mean	1	2661
