tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	L	mean	3
NaN	1	1	2	1	1	L	mean	3
NaN	1	1	3	1	1	L	mean	3
NaN	1	1	4	1	1	L	mean	3
0.030295	1	1	5	1	1	L	mean	3
0.030317	1	1	6	1	1	L	mean	3
0.030178	1	1	7	1	1	L	mean	3
0.030285	1	1	8	1	1	L	mean	3
0.030108	1	1	9	1	1	L	mean	3
0.030071	1	1	10	1	1	L	mean	3
NaN	1	2	1	1	1	L	mean	3
NaN	1	2	2	1	1	L	mean	3
0.030359	1	2	3	1	1	L	mean	3
0.030116	1	2	4	1	1	L	mean	3
0.030177	1	2	5	1	1	L	mean	3
0.030140	1	2	6	1	1	L	mean	3
0.030154	1	2	7	1	1	L	mean	3
0.030092	1	2	8	1	1	L	mean	3
0.030215	1	2	9	1	1	L	mean	3
0.029978	1	2	10	1	1	L	mean	3
NaN	1	3	1	1	1	L	mean	3
0.029982	1	3	2	1	1	L	mean	3
0.029965	1	3	3	1	1	L	mean	3
0.029744	1	3	4	1	1	L	mean	3
0.029852	1	3	5	1	1	L	mean	3
0.029816	1	3	6	1	1	L	mean	3
0.029800	1	3	7	1	1	L	mean	3
0.029816	1	3	8	1	1	L	mean	3
0.029864	1	3	9	1	1	L	mean	3
0.029828	1	3	10	1	1	L	mean	3
0.029686	1	4	1	1	1	L	mean	3
0.029824	1	4	2	1	1	L	mean	3
0.029707	1	4	3	1	1	L	mean	3
0.029670	1	4	4	1	1	L	mean	3
0.029613	1	4	5	1	1	L	mean	3
0.029638	1	4	6	1	1	L	mean	3
0.029653	1	4	7	1	1	L	mean	3
0.029613	1	4	8	1	1	L	mean	3
0.029617	1	4	9	1	1	L	mean	3
0.029605	1	4	10	1	1	L	mean	3
0.029682	1	5	1	1	1	L	mean	3
0.029643	1	5	2	1	1	L	mean	3
0.029663	1	5	3	1	1	L	mean	3
0.029673	1	5	4	1	1	L	mean	3
0.029636	1	5	5	1	1	L	mean	3
0.029648	1	5	6	1	1	L	mean	3
0.029624	1	5	7	1	1	L	mean	3
0.029605	1	5	8	1	1	L	mean	3
0.029605	1	5	9	1	1	L	mean	3
0.029602	1	5	10	1	1	L	mean	3
0.029650	1	6	1	1	1	L	mean	3
0.029687	1	6	2	1	1	L	mean	3
0.029675	1	6	3	1	1	L	mean	3
