tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	tMatch	sigma	3
NaN	1	1	2	1	1	tMatch	sigma	3
NaN	1	1	3	1	1	tMatch	sigma	3
NaN	1	1	4	1	1	tMatch	sigma	3
0.000037	1	1	5	1	1	tMatch	sigma	3
0.000045	1	1	6	1	1	tMatch	sigma	3
0.000057	1	1	7	1	1	tMatch	sigma	3
0.000070	1	1	8	1	1	tMatch	sigma	3
0.000090	1	1	9	1	1	tMatch	sigma	3
0.000108	1	1	10	1	1	tMatch	sigma	3
NaN	1	2	1	1	1	tMatch	sigma	3
NaN	1	2	2	1	1	tMatch	sigma	3
0.000042	1	2	3	1	1	tMatch	sigma	3
0.000045	1	2	4	1	1	tMatch	sigma	3
0.000050	1	2	5	1	1	tMatch	sigma	3
0.000064	1	2	6	1	1	tMatch	sigma	3
0.000079	1	2	7	1	1	tMatch	sigma	3
0.000101	1	2	8	1	1	tMatch	sigma	3
0.000129	1	2	9	1	1	tMatch	sigma	3
0.000158	1	2	10	1	1	tMatch	sigma	3
NaN	1	3	1	1	1	tMatch	sigma	3
0.000045	1	3	2	1	1	tMatch	sigma	3
0.000051	1	3	3	1	1	tMatch	sigma	3
0.000060	1	3	4	1	1	tMatch	sigma	3
0.000071	1	3	5	1	1	tMatch	sigma	3
0.000089	1	3	6	1	1	tMatch	sigma	3
0.000112	1	3	7	1	1	tMatch	sigma	3
0.000145	1	3	8	1	1	tMatch	sigma	3
0.000181	1	3	9	1	1	tMatch	sigma	3
0.000229	1	3	10	1	1	tMatch	sigma	3
0.000056	1	4	1	1	1	tMatch	sigma	3
0.000062	1	4	2	1	1	tMatch	sigma	3
0.000073	1	4	3	1	1	tMatch	sigma	3
0.000087	1	4	4	1	1	tMatch	sigma	3
0.000104	1	4	5	1	1	tMatch	sigma	3
0.000128	1	4	6	1	1	tMatch	sigma	3
0.000165	1	4	7	1	1	tMatch	sigma	3
0.000211	1	4	8	1	1	tMatch	sigma	3
0.000263	1	4	9	1	1	tMatch	sigma	3
0.000333	1	4	10	1	1	tMatch	sigma	3
0.000082	1	5	1	1	1	tMatch	sigma	3
0.000094	1	5	2	1	1	tMatch	sigma	3
0.000109	1	5	3	1	1	tMatch	sigma	3
0.000126	1	5	4	1	1	tMatch	sigma	3
0.000152	1	5	5	1	1	tMatch	sigma	3
0.000191	1	5	6	1	1	tMatch	sigma	3
0.000244	1	5	7	1	1	tMatch	sigma	3
0.000313	1	5	8	1	1	tMatch	sigma	3
0.000391	1	5	9	1	1	tMatch	sigma	3
0.000490	1	5	10	1	1	tMatch	sigma	3
0.000120	1	6	1	1	1	tMatch	sigma	3
0.000140	1	6	2	1	1	tMatch	sigma	3
0.000161	1	6	3	1	1	tMatch	sigma	3
0.000187	1	6	4	1	1	tMatch	sigma	3
0.000226	1	6	5	1	1	tMatch	sigma	3
0.000284	1	6	6	1	1	tMatch	sigma	3
0.000365	1	6	7	1	1	tMatch	sigma	3
0.000465	1	6	8	1	1	tMatch	sigma	3
0.000578	1	6	9	1	1	tMatch	sigma	3
0.000719	1	6	10	1	1	tMatch	sigma	3
0.000174	1	7	1	1	1	tMatch	sigma	3
0.000209	1	7	2	1	1	tMatch	sigma	3
0.000237	1	7	3	1	1	tMatch	sigma	3
0.000276	1	7	4	1	1	tMatch	sigma	3
0.000334	1	7	5	1	1	tMatch	sigma	3
0.000424	1	7	6	1	1	tMatch	sigma	3
0.000545	1	7	7	1	1	tMatch	sigma	3
0.000695	1	7	8	1	1	tMatch	sigma	3
0.000858	1	7	9	1	1	tMatch	sigma	3
0.001054	1	7	10	1	1	tMatch	sigma	3
0.000251	1	8	1	1	1	tMatch	sigma	3
0.000299	1	8	2	1	1	tMatch	sigma	3
0.000340	1	8	3	1	1	tMatch	sigma	3
0.000394	1	8	4	1	1	tMatch	sigma	3
0.000491	1	8	5	1	1	tMatch	sigma	3
0.000636	1	8	6	1	1	tMatch	sigma	3
0.000821	1	8	7	1	1	tMatch	sigma	3
0.001039	1	8	8	1	1	tMatch	sigma	3
0.001269	1	8	9	1	1	tMatch	sigma	3
0.001549	1	8	10	1	1	tMatch	sigma	3
0.000360	1	9	1	1	1	tMatch	sigma	3
0.000410	1	9	2	1	1	tMatch	sigma	3
0.000463	1	9	3	1	1	tMatch	sigma	3
0.000551	1	9	4	1	1	tMatch	sigma	3
0.000712	1	9	5	1	1	tMatch	sigma	3
0.000948	1	9	6	1	1	tMatch	sigma	3
0.001226	1	9	7	1	1	tMatch	sigma	3
0.001533	1	9	8	1	1	tMatch	sigma	3
0.001868	1	9	9	1	1	tMatch	sigma	3
0.002230	1	9	10	1	1	tMatch	sigma	3
NaN	1	10	1	1	1	tMatch	sigma	3
0.000514	1	10	2	1	1	tMatch	sigma	3
0.000604	1	10	3	1	1	tMatch	sigma	3
0.000751	1	10	4	1	1	tMatch	sigma	3
0.001033	1	10	5	1	1	tMatch	sigma	3
0.001395	1	10	6	1	1	tMatch	sigma	3
0.001805	1	10	7	1	1	tMatch	sigma	3
0.002233	1	10	8	1	1	tMatch	sigma	3
0.002667	1	10	9	1	1	tMatch	sigma	3
0.003102	1	10	10	1	1	tMatch	sigma	3
NaN	2	1	1	1	1	tMatch	sigma	3
NaN	2	1	2	1	1	tMatch	sigma	3
NaN	2	1	3	1	1	tMatch	sigma	3
0.000039	2	1	4	1	1	tMatch	sigma	3
0.000048	2	1	5	1	1	tMatch	sigma	3
0.000058	2	1	6	1	1	tMatch	sigma	3
0.000077	2	1	7	1	1	tMatch	sigma	3
0.000097	2	1	8	1	1	tMatch	sigma	3
0.000121	2	1	9	1	1	tMatch	sigma	3
0.000150	2	1	10	1	1	tMatch	sigma	3
NaN	2	2	1	1	1	tMatch	sigma	3
NaN	2	2	2	1	1	tMatch	sigma	3
0.000051	2	2	3	1	1	tMatch	sigma	3
0.000057	2	2	4	1	1	tMatch	sigma	3
0.000068	2	2	5	1	1	tMatch	sigma	3
0.000086	2	2	6	1	1	tMatch	sigma	3
0.000111	2	2	7	1	1	tMatch	sigma	3
0.000138	2	2	8	1	1	tMatch	sigma	3
0.000173	2	2	9	1	1	tMatch	sigma	3
0.000217	2	2	10	1	1	tMatch	sigma	3
NaN	2	3	1	1	1	tMatch	sigma	3
0.000062	2	3	2	1	1	tMatch	sigma	3
0.000071	2	3	3	1	1	tMatch	sigma	3
0.000083	2	3	4	1	1	tMatch	sigma	3
0.000102	2	3	5	1	1	tMatch	sigma	3
0.000125	2	3	6	1	1	tMatch	sigma	3
0.000159	2	3	7	1	1	tMatch	sigma	3
0.000202	2	3	8	1	1	tMatch	sigma	3
0.000252	2	3	9	1	1	tMatch	sigma	3
0.000314	2	3	10	1	1	tMatch	sigma	3
0.000075	2	4	1	1	1	tMatch	sigma	3
0.000090	2	4	2	1	1	tMatch	sigma	3
0.000104	2	4	3	1	1	tMatch	sigma	3
0.000121	2	4	4	1	1	tMatch	sigma	3
0.000146	2	4	5	1	1	tMatch	sigma	3
0.000181	2	4	6	1	1	tMatch	sigma	3
0.000232	2	4	7	1	1	tMatch	sigma	3
0.000296	2	4	8	1	1	tMatch	sigma	3
0.000371	2	4	9	1	1	tMatch	sigma	3
0.000465	2	4	10	1	1	tMatch	sigma	3
0.000110	2	5	1	1	1	tMatch	sigma	3
0.000130	2	5	2	1	1	tMatch	sigma	3
0.000152	2	5	3	1	1	tMatch	sigma	3
0.000177	2	5	4	1	1	tMatch	sigma	3
0.000213	2	5	5	1	1	tMatch	sigma	3
0.000267	2	5	6	1	1	tMatch	sigma	3
0.000343	2	5	7	1	1	tMatch	sigma	3
0.000439	2	5	8	1	1	tMatch	sigma	3
0.000548	2	5	9	1	1	tMatch	sigma	3
0.000685	2	5	10	1	1	tMatch	sigma	3
0.000166	2	6	1	1	1	tMatch	sigma	3
0.000193	2	6	2	1	1	tMatch	sigma	3
0.000224	2	6	3	1	1	tMatch	sigma	3
0.000261	2	6	4	1	1	tMatch	sigma	3
0.000315	2	6	5	1	1	tMatch	sigma	3
0.000396	2	6	6	1	1	tMatch	sigma	3
0.000510	2	6	7	1	1	tMatch	sigma	3
0.000652	2	6	8	1	1	tMatch	sigma	3
0.000810	2	6	9	1	1	tMatch	sigma	3
0.001008	2	6	10	1	1	tMatch	sigma	3
0.000251	2	7	1	1	1	tMatch	sigma	3
0.000285	2	7	2	1	1	tMatch	sigma	3
0.000331	2	7	3	1	1	tMatch	sigma	3
0.000383	2	7	4	1	1	tMatch	sigma	3
0.000466	2	7	5	1	1	tMatch	sigma	3
0.000592	2	7	6	1	1	tMatch	sigma	3
0.000761	2	7	7	1	1	tMatch	sigma	3
0.000970	2	7	8	1	1	tMatch	sigma	3
0.001199	2	7	9	1	1	tMatch	sigma	3
0.001482	2	7	10	1	1	tMatch	sigma	3
0.000357	2	8	1	1	1	tMatch	sigma	3
0.000424	2	8	2	1	1	tMatch	sigma	3
0.000480	2	8	3	1	1	tMatch	sigma	3
0.000554	2	8	4	1	1	tMatch	sigma	3
0.000686	2	8	5	1	1	tMatch	sigma	3
0.000882	2	8	6	1	1	tMatch	sigma	3
0.001139	2	8	7	1	1	tMatch	sigma	3
0.001446	2	8	8	1	1	tMatch	sigma	3
0.001779	2	8	9	1	1	tMatch	sigma	3
0.002173	2	8	10	1	1	tMatch	sigma	3
0.000521	2	9	1	1	1	tMatch	sigma	3
0.000581	2	9	2	1	1	tMatch	sigma	3
