tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Eabs	mean	3
NaN	1	1	2	1	1	Eabs	mean	3
NaN	1	1	3	1	1	Eabs	mean	3
NaN	1	1	4	1	1	Eabs	mean	3
50.829331	1	1	5	1	1	Eabs	mean	3
50.374947	1	1	6	1	1	Eabs	mean	3
47.524339	1	1	7	1	1	Eabs	mean	3
48.612016	1	1	8	1	1	Eabs	mean	3
45.440156	1	1	9	1	1	Eabs	mean	3
43.356072	1	1	10	1	1	Eabs	mean	3
NaN	1	2	1	1	1	Eabs	mean	3
NaN	1	2	2	1	1	Eabs	mean	3
75.831118	1	2	3	1	1	Eabs	mean	3
72.753490	1	2	4	1	1	Eabs	mean	3
72.733368	1	2	5	1	1	Eabs	mean	3
69.387051	1	2	6	1	1	Eabs	mean	3
68.618705	1	2	7	1	1	Eabs	mean	3
68.666411	1	2	8	1	1	Eabs	mean	3
65.882498	1	2	9	1	1	Eabs	mean	3
60.642477	1	2	10	1	1	Eabs	mean	3
NaN	1	3	1	1	1	Eabs	mean	3
114.463372	1	3	2	1	1	Eabs	mean	3
110.433802	1	3	3	1	1	Eabs	mean	3
108.637172	1	3	4	1	1	Eabs	mean	3
105.843391	1	3	5	1	1	Eabs	mean	3
101.713963	1	3	6	1	1	Eabs	mean	3
99.027039	1	3	7	1	1	Eabs	mean	3
97.427402	1	3	8	1	1	Eabs	mean	3
93.153949	1	3	9	1	1	Eabs	mean	3
87.633529	1	3	10	1	1	Eabs	mean	3
155.934855	1	4	1	1	1	Eabs	mean	3
152.377790	1	4	2	1	1	Eabs	mean	3
150.998415	1	4	3	1	1	Eabs	mean	3
149.459224	1	4	4	1	1	Eabs	mean	3
142.600209	1	4	5	1	1	Eabs	mean	3
139.202432	1	4	6	1	1	Eabs	mean	3
136.544545	1	4	7	1	1	Eabs	mean	3
134.421307	1	4	8	1	1	Eabs	mean	3
129.682624	1	4	9	1	1	Eabs	mean	3
122.325699	1	4	10	1	1	Eabs	mean	3
208.268579	1	5	1	1	1	Eabs	mean	3
204.133305	1	5	2	1	1	Eabs	mean	3
203.241405	1	5	3	1	1	Eabs	mean	3
197.043403	1	5	4	1	1	Eabs	mean	3
190.229348	1	5	5	1	1	Eabs	mean	3
185.968201	1	5	6	1	1	Eabs	mean	3
182.851944	1	5	7	1	1	Eabs	mean	3
180.754482	1	5	8	1	1	Eabs	mean	3
175.227489	1	5	9	1	1	Eabs	mean	3
166.288492	1	5	10	1	1	Eabs	mean	3
274.758519	1	6	1	1	1	Eabs	mean	3
279.583072	1	6	2	1	1	Eabs	mean	3
276.643917	1	6	3	1	1	Eabs	mean	3
266.427425	1	6	4	1	1	Eabs	mean	3
255.975518	1	6	5	1	1	Eabs	mean	3
249.533394	1	6	6	1	1	Eabs	mean	3
248.086381	1	6	7	1	1	Eabs	mean	3
245.257415	1	6	8	1	1	Eabs	mean	3
239.895619	1	6	9	1	1	Eabs	mean	3
226.646514	1	6	10	1	1	Eabs	mean	3
372.557242	1	7	1	1	1	Eabs	mean	3
387.482443	1	7	2	1	1	Eabs	mean	3
382.353110	1	7	3	1	1	Eabs	mean	3
363.423653	1	7	4	1	1	Eabs	mean	3
347.978873	1	7	5	1	1	Eabs	mean	3
340.274796	1	7	6	1	1	Eabs	mean	3
338.161707	1	7	7	1	1	Eabs	mean	3
336.147487	1	7	8	1	1	Eabs	mean	3
330.251325	1	7	9	1	1	Eabs	mean	3
312.201835	1	7	10	1	1	Eabs	mean	3
520.375393	1	8	1	1	1	Eabs	mean	3
558.288647	1	8	2	1	1	Eabs	mean	3
552.642099	1	8	3	1	1	Eabs	mean	3
514.796354	1	8	4	1	1	Eabs	mean	3
484.990267	1	8	5	1	1	Eabs	mean	3
466.934621	1	8	6	1	1	Eabs	mean	3
465.152015	1	8	7	1	1	Eabs	mean	3
460.566311	1	8	8	1	1	Eabs	mean	3
453.113341	1	8	9	1	1	Eabs	mean	3
431.627627	1	8	10	1	1	Eabs	mean	3
866.474612	1	9	1	1	1	Eabs	mean	3
925.944191	1	9	2	1	1	Eabs	mean	3
887.181462	1	9	3	1	1	Eabs	mean	3
784.290943	1	9	4	1	1	Eabs	mean	3
706.095832	1	9	5	1	1	Eabs	mean	3
655.958415	1	9	6	1	1	Eabs	mean	3
637.211831	1	9	7	1	1	Eabs	mean	3
632.196992	1	9	8	1	1	Eabs	mean	3
627.179175	1	9	9	1	1	Eabs	mean	3
597.096401	1	9	10	1	1	Eabs	mean	3
NaN	1	10	1	1	1	Eabs	mean	3
1808.120997	1	10	2	1	1	Eabs	mean	3
1584.727530	1	10	3	1	1	Eabs	mean	3
1283.119122	1	10	4	1	1	Eabs	mean	3
1089.103291	1	10	5	1	1	Eabs	mean	3
947.551330	1	10	6	1	1	Eabs	mean	3
890.267300	1	10	7	1	1	Eabs	mean	3
875.722914	1	10	8	1	1	Eabs	mean	3
899.012780	1	10	9	1	1	Eabs	mean	3
838.224154	1	10	10	1	1	Eabs	mean	3
NaN	2	1	1	1	1	Eabs	mean	3
NaN	2	1	2	1	1	Eabs	mean	3
NaN	2	1	3	1	1	Eabs	mean	3
72.076183	2	1	4	1	1	Eabs	mean	3
65.226727	2	1	5	1	1	Eabs	mean	3
67.225394	2	1	6	1	1	Eabs	mean	3
64.070162	2	1	7	1	1	Eabs	mean	3
64.721427	2	1	8	1	1	Eabs	mean	3
61.036187	2	1	9	1	1	Eabs	mean	3
58.696948	2	1	10	1	1	Eabs	mean	3
NaN	2	2	1	1	1	Eabs	mean	3
NaN	2	2	2	1	1	Eabs	mean	3
103.247902	2	2	3	1	1	Eabs	mean	3
102.005555	2	2	4	1	1	Eabs	mean	3
97.782477	2	2	5	1	1	Eabs	mean	3
94.534612	2	2	6	1	1	Eabs	mean	3
93.674951	2	2	7	1	1	Eabs	mean	3
92.363238	2	2	8	1	1	Eabs	mean	3
89.570484	2	2	9	1	1	Eabs	mean	3
84.482782	2	2	10	1	1	Eabs	mean	3
NaN	2	3	1	1	1	Eabs	mean	3
