tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Eabs	sigma	3
NaN	1	1	2	1	1	Eabs	sigma	3
NaN	1	1	3	1	1	Eabs	sigma	3
NaN	1	1	4	1	1	Eabs	sigma	3
23.213461	1	1	5	1	1	Eabs	sigma	3
23.408888	1	1	6	1	1	Eabs	sigma	3
19.573932	1	1	7	1	1	Eabs	sigma	3
21.447244	1	1	8	1	1	Eabs	sigma	3
20.184685	1	1	9	1	1	Eabs	sigma	3
18.579449	1	1	10	1	1	Eabs	sigma	3
NaN	1	2	1	1	1	Eabs	sigma	3
NaN	1	2	2	1	1	Eabs	sigma	3
39.268082	1	2	3	1	1	Eabs	sigma	3
30.576951	1	2	4	1	1	Eabs	sigma	3
34.300854	1	2	5	1	1	Eabs	sigma	3
31.807019	1	2	6	1	1	Eabs	sigma	3
31.581888	1	2	7	1	1	Eabs	sigma	3
30.299283	1	2	8	1	1	Eabs	sigma	3
30.225964	1	2	9	1	1	Eabs	sigma	3
25.879798	1	2	10	1	1	Eabs	sigma	3
NaN	1	3	1	1	1	Eabs	sigma	3
48.393527	1	3	2	1	1	Eabs	sigma	3
47.333499	1	3	3	1	1	Eabs	sigma	3
45.586887	1	3	4	1	1	Eabs	sigma	3
45.881913	1	3	5	1	1	Eabs	sigma	3
44.636060	1	3	6	1	1	Eabs	sigma	3
41.442342	1	3	7	1	1	Eabs	sigma	3
41.191864	1	3	8	1	1	Eabs	sigma	3
38.315835	1	3	9	1	1	Eabs	sigma	3
36.780063	1	3	10	1	1	Eabs	sigma	3
70.307708	1	4	1	1	1	Eabs	sigma	3
67.088736	1	4	2	1	1	Eabs	sigma	3
63.942698	1	4	3	1	1	Eabs	sigma	3
65.473098	1	4	4	1	1	Eabs	sigma	3
61.247569	1	4	5	1	1	Eabs	sigma	3
58.376994	1	4	6	1	1	Eabs	sigma	3
56.094637	1	4	7	1	1	Eabs	sigma	3
56.148464	1	4	8	1	1	Eabs	sigma	3
52.627242	1	4	9	1	1	Eabs	sigma	3
49.036414	1	4	10	1	1	Eabs	sigma	3
102.083453	1	5	1	1	1	Eabs	sigma	3
95.707300	1	5	2	1	1	Eabs	sigma	3
92.108495	1	5	3	1	1	Eabs	sigma	3
91.601934	1	5	4	1	1	Eabs	sigma	3
87.851622	1	5	5	1	1	Eabs	sigma	3
83.939300	1	5	6	1	1	Eabs	sigma	3
80.684593	1	5	7	1	1	Eabs	sigma	3
79.456869	1	5	8	1	1	Eabs	sigma	3
74.981484	1	5	9	1	1	Eabs	sigma	3
69.726003	1	5	10	1	1	Eabs	sigma	3
144.264912	1	6	1	1	1	Eabs	sigma	3
136.854391	1	6	2	1	1	Eabs	sigma	3
138.404213	1	6	3	1	1	Eabs	sigma	3
135.065629	1	6	4	1	1	Eabs	sigma	3
128.160800	1	6	5	1	1	Eabs	sigma	3
121.546055	1	6	6	1	1	Eabs	sigma	3
119.097827	1	6	7	1	1	Eabs	sigma	3
116.706354	1	6	8	1	1	Eabs	sigma	3
112.820431	1	6	9	1	1	Eabs	sigma	3
102.776337	1	6	10	1	1	Eabs	sigma	3
209.572538	1	7	1	1	1	Eabs	sigma	3
214.527707	1	7	2	1	1	Eabs	sigma	3
210.538374	1	7	3	1	1	Eabs	sigma	3
199.772666	1	7	4	1	1	Eabs	sigma	3
190.703535	1	7	5	1	1	Eabs	sigma	3
180.879031	1	7	6	1	1	Eabs	sigma	3
177.386707	1	7	7	1	1	Eabs	sigma	3
175.633574	1	7	8	1	1	Eabs	sigma	3
170.683498	1	7	9	1	1	Eabs	sigma	3
154.266314	1	7	10	1	1	Eabs	sigma	3
341.738726	1	8	1	1	1	Eabs	sigma	3
349.870350	1	8	2	1	1	Eabs	sigma	3
336.716484	1	8	3	1	1	Eabs	sigma	3
313.118278	1	8	4	1	1	Eabs	sigma	3
286.250198	1	8	5	1	1	Eabs	sigma	3
268.518353	1	8	6	1	1	Eabs	sigma	3
271.078138	1	8	7	1	1	Eabs	sigma	3
268.231315	1	8	8	1	1	Eabs	sigma	3
261.297661	1	8	9	1	1	Eabs	sigma	3
234.011376	1	8	10	1	1	Eabs	sigma	3
547.970433	1	9	1	1	1	Eabs	sigma	3
597.894421	1	9	2	1	1	Eabs	sigma	3
552.102668	1	9	3	1	1	Eabs	sigma	3
490.148569	1	9	4	1	1	Eabs	sigma	3
430.657851	1	9	5	1	1	Eabs	sigma	3
402.733703	1	9	6	1	1	Eabs	sigma	3
398.322807	1	9	7	1	1	Eabs	sigma	3
401.358748	1	9	8	1	1	Eabs	sigma	3
395.076518	1	9	9	1	1	Eabs	sigma	3
348.677112	1	9	10	1	1	Eabs	sigma	3
NaN	1	10	1	1	1	Eabs	sigma	3
816.839451	1	10	2	1	1	Eabs	sigma	3
817.091269	1	10	3	1	1	Eabs	sigma	3
711.718563	1	10	4	1	1	Eabs	sigma	3
651.949188	1	10	5	1	1	Eabs	sigma	3
596.692373	1	10	6	1	1	Eabs	sigma	3
586.333840	1	10	7	1	1	Eabs	sigma	3
602.977739	1	10	8	1	1	Eabs	sigma	3
613.581287	1	10	9	1	1	Eabs	sigma	3
521.925761	1	10	10	1	1	Eabs	sigma	3
NaN	2	1	1	1	1	Eabs	sigma	3
NaN	2	1	2	1	1	Eabs	sigma	3
NaN	2	1	3	1	1	Eabs	sigma	3
35.253986	2	1	4	1	1	Eabs	sigma	3
29.529228	2	1	5	1	1	Eabs	sigma	3
34.785622	2	1	6	1	1	Eabs	sigma	3
31.011204	2	1	7	1	1	Eabs	sigma	3
31.554866	2	1	8	1	1	Eabs	sigma	3
25.714924	2	1	9	1	1	Eabs	sigma	3
25.356616	2	1	10	1	1	Eabs	sigma	3
NaN	2	2	1	1	1	Eabs	sigma	3
NaN	2	2	2	1	1	Eabs	sigma	3
51.577095	2	2	3	1	1	Eabs	sigma	3
49.041518	2	2	4	1	1	Eabs	sigma	3
52.702278	2	2	5	1	1	Eabs	sigma	3
44.438551	2	2	6	1	1	Eabs	sigma	3
44.086585	2	2	7	1	1	Eabs	sigma	3
42.264114	2	2	8	1	1	Eabs	sigma	3
43.276113	2	2	9	1	1	Eabs	sigma	3
38.377401	2	2	10	1	1	Eabs	sigma	3
NaN	2	3	1	1	1	Eabs	sigma	3
66.598588	2	3	2	1	1	Eabs	sigma	3
71.891930	2	3	3	1	1	Eabs	sigma	3
65.320861	2	3	4	1	1	Eabs	sigma	3
65.908005	2	3	5	1	1	Eabs	sigma	3
62.897613	2	3	6	1	1	Eabs	sigma	3
60.262576	2	3	7	1	1	Eabs	sigma	3
57.006539	2	3	8	1	1	Eabs	sigma	3
56.372756	2	3	9	1	1	Eabs	sigma	3
53.743894	2	3	10	1	1	Eabs	sigma	3
93.633562	2	4	1	1	1	Eabs	sigma	3
87.637700	2	4	2	1	1	Eabs	sigma	3
94.291921	2	4	3	1	1	Eabs	sigma	3
86.891230	2	4	4	1	1	Eabs	sigma	3
84.381344	2	4	5	1	1	Eabs	sigma	3
80.796296	2	4	6	1	1	Eabs	sigma	3
78.778407	2	4	7	1	1	Eabs	sigma	3
77.113466	2	4	8	1	1	Eabs	sigma	3
74.486970	2	4	9	1	1	Eabs	sigma	3
70.072063	2	4	10	1	1	Eabs	sigma	3
122.406961	2	5	1	1	1	Eabs	sigma	3
123.353689	2	5	2	1	1	Eabs	sigma	3
126.487201	2	5	3	1	1	Eabs	sigma	3
124.953366	2	5	4	1	1	Eabs	sigma	3
119.456555	2	5	5	1	1	Eabs	sigma	3
112.777926	2	5	6	1	1	Eabs	sigma	3
109.820229	2	5	7	1	1	Eabs	sigma	3
107.070415	2	5	8	1	1	Eabs	sigma	3
101.957848	2	5	9	1	1	Eabs	sigma	3
95.538509	2	5	10	1	1	Eabs	sigma	3
191.829049	2	6	1	1	1	Eabs	sigma	3
190.305956	2	6	2	1	1	Eabs	sigma	3
186.358731	2	6	3	1	1	Eabs	sigma	3
182.874161	2	6	4	1	1	Eabs	sigma	3
171.867134	2	6	5	1	1	Eabs	sigma	3
164.826406	2	6	6	1	1	Eabs	sigma	3
160.621541	2	6	7	1	1	Eabs	sigma	3
156.075772	2	6	8	1	1	Eabs	sigma	3
150.990664	2	6	9	1	1	Eabs	sigma	3
138.380553	2	6	10	1	1	Eabs	sigma	3
267.415262	2	7	1	1	1	Eabs	sigma	3
280.728775	2	7	2	1	1	Eabs	sigma	3
282.594413	2	7	3	1	1	Eabs	sigma	3
272.591280	2	7	4	1	1	Eabs	sigma	3
253.289130	2	7	5	1	1	Eabs	sigma	3
241.269531	2	7	6	1	1	Eabs	sigma	3
236.598920	2	7	7	1	1	Eabs	sigma	3
234.299123	2	7	8	1	1	Eabs	sigma	3
224.923876	2	7	9	1	1	Eabs	sigma	3
206.465660	2	7	10	1	1	Eabs	sigma	3
440.351089	2	8	1	1	1	Eabs	sigma	3
434.750180	2	8	2	1	1	Eabs	sigma	3
446.807248	2	8	3	1	1	Eabs	sigma	3
