tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.000081	2	1	7	1	1	tMatch	sigma	5
0.000101	2	1	8	1	1	tMatch	sigma	5
0.000122	2	1	9	1	1	tMatch	sigma	5
0.000150	2	1	10	1	1	tMatch	sigma	5
0.000039	2	2	1	1	1	tMatch	sigma	5
0.000046	2	2	2	1	1	tMatch	sigma	5
0.000049	2	2	3	1	1	tMatch	sigma	5
0.000054	2	2	4	1	1	tMatch	sigma	5
0.000074	2	2	5	1	1	tMatch	sigma	5
0.000097	2	2	6	1	1	tMatch	sigma	5
0.000125	2	2	7	1	1	tMatch	sigma	5
0.000155	2	2	8	1	1	tMatch	sigma	5
0.000187	2	2	9	1	1	tMatch	sigma	5
0.000227	2	2	10	1	1	tMatch	sigma	5
0.000057	2	3	1	1	1	tMatch	sigma	5
0.000067	2	3	2	1	1	tMatch	sigma	5
0.000069	2	3	3	1	1	tMatch	sigma	5
0.000074	2	3	4	1	1	tMatch	sigma	5
0.000108	2	3	5	1	1	tMatch	sigma	5
0.000149	2	3	6	1	1	tMatch	sigma	5
0.000191	2	3	7	1	1	tMatch	sigma	5
0.000238	2	3	8	1	1	tMatch	sigma	5
0.000286	2	3	9	1	1	tMatch	sigma	5
0.000343	2	3	10	1	1	tMatch	sigma	5
0.000083	2	4	1	1	1	tMatch	sigma	5
0.000096	2	4	2	1	1	tMatch	sigma	5
0.000090	2	4	3	1	1	tMatch	sigma	5
0.000103	2	4	4	1	1	tMatch	sigma	5
0.000160	2	4	5	1	1	tMatch	sigma	5
0.000225	2	4	6	1	1	tMatch	sigma	5
0.000292	2	4	7	1	1	tMatch	sigma	5
0.000363	2	4	8	1	1	tMatch	sigma	5
0.000434	2	4	9	1	1	tMatch	sigma	5
0.000514	2	4	10	1	1	tMatch	sigma	5
0.000124	2	5	1	1	1	tMatch	sigma	5
0.000137	2	5	2	1	1	tMatch	sigma	5
0.000121	2	5	3	1	1	tMatch	sigma	5
0.000145	2	5	4	1	1	tMatch	sigma	5
0.000238	2	5	5	1	1	tMatch	sigma	5
0.000340	2	5	6	1	1	tMatch	sigma	5
0.000445	2	5	7	1	1	tMatch	sigma	5
0.000552	2	5	8	1	1	tMatch	sigma	5
0.000655	2	5	9	1	1	tMatch	sigma	5
0.000768	2	5	10	1	1	tMatch	sigma	5
0.000164	2	6	1	1	1	tMatch	sigma	5
0.000186	2	6	2	1	1	tMatch	sigma	5
0.000154	2	6	3	1	1	tMatch	sigma	5
0.000206	2	6	4	1	1	tMatch	sigma	5
0.000353	2	6	5	1	1	tMatch	sigma	5
0.000513	2	6	6	1	1	tMatch	sigma	5
0.000673	2	6	7	1	1	tMatch	sigma	5
0.000835	2	6	8	1	1	tMatch	sigma	5
0.000985	2	6	9	1	1	tMatch	sigma	5
0.001139	2	6	10	1	1	tMatch	sigma	5
0.000239	2	7	1	1	1	tMatch	sigma	5
0.000260	2	7	2	1	1	tMatch	sigma	5
0.000203	2	7	3	1	1	tMatch	sigma	5
0.000300	2	7	4	1	1	tMatch	sigma	5
0.000525	2	7	5	1	1	tMatch	sigma	5
0.000772	2	7	6	1	1	tMatch	sigma	5
0.001020	2	7	7	1	1	tMatch	sigma	5
0.001256	2	7	8	1	1	tMatch	sigma	5
0.001469	2	7	9	1	1	tMatch	sigma	5
0.001679	2	7	10	1	1	tMatch	sigma	5
NaN	2	8	1	1	1	tMatch	sigma	5
0.000381	2	8	2	1	1	tMatch	sigma	5
0.000256	2	8	3	1	1	tMatch	sigma	5
0.000439	2	8	4	1	1	tMatch	sigma	5
0.000773	2	8	5	1	1	tMatch	sigma	5
0.001150	2	8	6	1	1	tMatch	sigma	5
0.001526	2	8	7	1	1	tMatch	sigma	5
0.001864	2	8	8	1	1	tMatch	sigma	5
0.002155	2	8	9	1	1	tMatch	sigma	5
0.002443	2	8	10	1	1	tMatch	sigma	5
NaN	2	9	1	1	1	tMatch	sigma	5
NaN	2	9	2	1	1	tMatch	sigma	5
0.000336	2	9	3	1	1	tMatch	sigma	5
0.000637	2	9	4	1	1	tMatch	sigma	5
0.001141	2	9	5	1	1	tMatch	sigma	5
0.001699	2	9	6	1	1	tMatch	sigma	5
0.002239	2	9	7	1	1	tMatch	sigma	5
0.002716	2	9	8	1	1	tMatch	sigma	5
0.003116	2	9	9	1	1	tMatch	sigma	5
0.003496	2	9	10	1	1	tMatch	sigma	5
NaN	2	10	1	1	1	tMatch	sigma	5
NaN	2	10	2	1	1	tMatch	sigma	5
0.000456	2	10	3	1	1	tMatch	sigma	5
0.000925	2	10	4	1	1	tMatch	sigma	5
0.001695	2	10	5	1	1	tMatch	sigma	5
0.002522	2	10	6	1	1	tMatch	sigma	5
0.003247	2	10	7	1	1	tMatch	sigma	5
0.003876	2	10	8	1	1	tMatch	sigma	5
0.004405	2	10	9	1	1	tMatch	sigma	5
0.004888	2	10	10	1	1	tMatch	sigma	5
0.000037	3	1	1	1	1	tMatch	sigma	5
0.000044	3	1	2	1	1	tMatch	sigma	5
0.000050	3	1	3	1	1	tMatch	sigma	5
0.000055	3	1	4	1	1	tMatch	sigma	5
0.000070	3	1	5	1	1	tMatch	sigma	5
0.000090	3	1	6	1	1	tMatch	sigma	5
0.000114	3	1	7	1	1	tMatch	sigma	5
0.000141	3	1	8	1	1	tMatch	sigma	5
0.000172	3	1	9	1	1	tMatch	sigma	5
0.000211	3	1	10	1	1	tMatch	sigma	5
0.000055	3	2	1	1	1	tMatch	sigma	5
0.000063	3	2	2	1	1	tMatch	sigma	5
0.000069	3	2	3	1	1	tMatch	sigma	5
0.000077	3	2	4	1	1	tMatch	sigma	5
0.000103	3	2	5	1	1	tMatch	sigma	5
0.000136	3	2	6	1	1	tMatch	sigma	5
0.000174	3	2	7	1	1	tMatch	sigma	5
0.000216	3	2	8	1	1	tMatch	sigma	5
0.000261	3	2	9	1	1	tMatch	sigma	5
0.000318	3	2	10	1	1	tMatch	sigma	5
0.000079	3	3	1	1	1	tMatch	sigma	5
0.000091	3	3	2	1	1	tMatch	sigma	5
0.000095	3	3	3	1	1	tMatch	sigma	5
0.000105	3	3	4	1	1	tMatch	sigma	5
0.000151	3	3	5	1	1	tMatch	sigma	5
0.000206	3	3	6	1	1	tMatch	sigma	5
0.000266	3	3	7	1	1	tMatch	sigma	5
0.000331	3	3	8	1	1	tMatch	sigma	5
0.000397	3	3	9	1	1	tMatch	sigma	5
0.000478	3	3	10	1	1	tMatch	sigma	5
0.000118	3	4	1	1	1	tMatch	sigma	5
0.000133	3	4	2	1	1	tMatch	sigma	5
0.000128	3	4	3	1	1	tMatch	sigma	5
0.000144	3	4	4	1	1	tMatch	sigma	5
0.000223	3	4	5	1	1	tMatch	sigma	5
0.000312	3	4	6	1	1	tMatch	sigma	5
0.000406	3	4	7	1	1	tMatch	sigma	5
0.000505	3	4	8	1	1	tMatch	sigma	5
0.000604	3	4	9	1	1	tMatch	sigma	5
0.000717	3	4	10	1	1	tMatch	sigma	5
0.000164	3	5	1	1	1	tMatch	sigma	5
0.000193	3	5	2	1	1	tMatch	sigma	5
0.000165	3	5	3	1	1	tMatch	sigma	5
0.000203	3	5	4	1	1	tMatch	sigma	5
0.000330	3	5	5	1	1	tMatch	sigma	5
0.000471	3	5	6	1	1	tMatch	sigma	5
0.000615	3	5	7	1	1	tMatch	sigma	5
0.000766	3	5	8	1	1	tMatch	sigma	5
0.000912	3	5	9	1	1	tMatch	sigma	5
0.001071	3	5	10	1	1	tMatch	sigma	5
0.000229	3	6	1	1	1	tMatch	sigma	5
0.000266	3	6	2	1	1	tMatch	sigma	5
0.000219	3	6	3	1	1	tMatch	sigma	5
0.000288	3	6	4	1	1	tMatch	sigma	5
0.000490	3	6	5	1	1	tMatch	sigma	5
