tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	L	sigma	1
NaN	1	1	2	1	1	L	sigma	1
NaN	1	1	3	1	1	L	sigma	1
NaN	1	1	4	1	1	L	sigma	1
NaN	1	1	5	1	1	L	sigma	1
NaN	1	1	6	1	1	L	sigma	1
NaN	1	1	7	1	1	L	sigma	1
NaN	1	1	8	1	1	L	sigma	1
NaN	1	1	9	1	1	L	sigma	1
NaN	1	1	10	1	1	L	sigma	1
NaN	1	2	1	1	1	L	sigma	1
NaN	1	2	2	1	1	L	sigma	1
NaN	1	2	3	1	1	L	sigma	1
NaN	1	2	4	1	1	L	sigma	1
NaN	1	2	5	1	1	L	sigma	1
NaN	1	2	6	1	1	L	sigma	1
NaN	1	2	7	1	1	L	sigma	1
NaN	1	2	8	1	1	L	sigma	1
NaN	1	2	9	1	1	L	sigma	1
NaN	1	2	10	1	1	L	sigma	1
NaN	1	3	1	1	1	L	sigma	1
0.002684	1	3	2	1	1	L	sigma	1
0.002834	1	3	3	1	1	L	sigma	1
0.002751	1	3	4	1	1	L	sigma	1
0.002775	1	3	5	1	1	L	sigma	1
0.002821	1	3	6	1	1	L	sigma	1
0.002817	1	3	7	1	1	L	sigma	1
0.002851	1	3	8	1	1	L	sigma	1
0.002776	1	3	9	1	1	L	sigma	1
0.002718	1	3	10	1	1	L	sigma	1
0.002885	1	4	1	1	1	L	sigma	1
0.002782	1	4	2	1	1	L	sigma	1
0.002814	1	4	3	1	1	L	sigma	1
0.002833	1	4	4	1	1	L	sigma	1
0.002829	1	4	5	1	1	L	sigma	1
0.002833	1	4	6	1	1	L	sigma	1
0.002846	1	4	7	1	1	L	sigma	1
0.002817	1	4	8	1	1	L	sigma	1
0.002824	1	4	9	1	1	L	sigma	1
0.002848	1	4	10	1	1	L	sigma	1
0.002832	1	5	1	1	1	L	sigma	1
0.002815	1	5	2	1	1	L	sigma	1
0.002818	1	5	3	1	1	L	sigma	1
0.002829	1	5	4	1	1	L	sigma	1
0.002818	1	5	5	1	1	L	sigma	1
0.002816	1	5	6	1	1	L	sigma	1
0.002789	1	5	7	1	1	L	sigma	1
0.002821	1	5	8	1	1	L	sigma	1
0.002836	1	5	9	1	1	L	sigma	1
0.002849	1	5	10	1	1	L	sigma	1
0.002874	1	6	1	1	1	L	sigma	1
0.002868	1	6	2	1	1	L	sigma	1
0.002831	1	6	3	1	1	L	sigma	1
0.002835	1	6	4	1	1	L	sigma	1
0.002839	1	6	5	1	1	L	sigma	1
0.002835	1	6	6	1	1	L	sigma	1
0.002828	1	6	7	1	1	L	sigma	1
0.002829	1	6	8	1	1	L	sigma	1
0.002831	1	6	9	1	1	L	sigma	1
0.002825	1	6	10	1	1	L	sigma	1
0.002838	1	7	1	1	1	L	sigma	1
0.002839	1	7	2	1	1	L	sigma	1
0.002845	1	7	3	1	1	L	sigma	1
0.002833	1	7	4	1	1	L	sigma	1
0.002838	1	7	5	1	1	L	sigma	1
0.002835	1	7	6	1	1	L	sigma	1
0.002831	1	7	7	1	1	L	sigma	1
0.002836	1	7	8	1	1	L	sigma	1
0.002836	1	7	9	1	1	L	sigma	1
0.002845	1	7	10	1	1	L	sigma	1
0.002837	1	8	1	1	1	L	sigma	1
0.002829	1	8	2	1	1	L	sigma	1
0.002827	1	8	3	1	1	L	sigma	1
0.002845	1	8	4	1	1	L	sigma	1
0.002834	1	8	5	1	1	L	sigma	1
0.002830	1	8	6	1	1	L	sigma	1
0.002835	1	8	7	1	1	L	sigma	1
0.002838	1	8	8	1	1	L	sigma	1
0.002838	1	8	9	1	1	L	sigma	1
0.002835	1	8	10	1	1	L	sigma	1
0.002815	1	9	1	1	1	L	sigma	1
0.002833	1	9	2	1	1	L	sigma	1
0.002837	1	9	3	1	1	L	sigma	1
0.002837	1	9	4	1	1	L	sigma	1
0.002836	1	9	5	1	1	L	sigma	1
0.002833	1	9	6	1	1	L	sigma	1
0.002834	1	9	7	1	1	L	sigma	1
0.002839	1	9	8	1	1	L	sigma	1
0.002830	1	9	9	1	1	L	sigma	1
0.002836	1	9	10	1	1	L	sigma	1
0.002809	1	10	1	1	1	L	sigma	1
0.002848	1	10	2	1	1	L	sigma	1
0.002821	1	10	3	1	1	L	sigma	1
0.002835	1	10	4	1	1	L	sigma	1
0.002824	1	10	5	1	1	L	sigma	1
0.002829	1	10	6	1	1	L	sigma	1
0.002827	1	10	7	1	1	L	sigma	1
0.002825	1	10	8	1	1	L	sigma	1
0.002826	1	10	9	1	1	L	sigma	1
0.002823	1	10	10	1	1	L	sigma	1
NaN	2	1	1	1	1	L	sigma	1
NaN	2	1	2	1	1	L	sigma	1
NaN	2	1	3	1	1	L	sigma	1
NaN	2	1	4	1	1	L	sigma	1
NaN	2	1	5	1	1	L	sigma	1
NaN	2	1	6	1	1	L	sigma	1
NaN	2	1	7	1	1	L	sigma	1
NaN	2	1	8	1	1	L	sigma	1
NaN	2	1	9	1	1	L	sigma	1
NaN	2	1	10	1	1	L	sigma	1
NaN	2	2	1	1	1	L	sigma	1
NaN	2	2	2	1	1	L	sigma	1
0.003785	2	2	3	1	1	L	sigma	1
0.003927	2	2	4	1	1	L	sigma	1
0.003827	2	2	5	1	1	L	sigma	1
0.003892	2	2	6	1	1	L	sigma	1
0.003924	2	2	7	1	1	L	sigma	1
0.003845	2	2	8	1	1	L	sigma	1
NaN	2	2	9	1	1	L	sigma	1
NaN	2	2	10	1	1	L	sigma	1
0.003820	2	3	1	1	1	L	sigma	1
0.003733	2	3	2	1	1	L	sigma	1
0.003954	2	3	3	1	1	L	sigma	1
0.003911	2	3	4	1	1	L	sigma	1
0.003927	2	3	5	1	1	L	sigma	1
0.003926	2	3	6	1	1	L	sigma	1
0.003889	2	3	7	1	1	L	sigma	1
0.003941	2	3	8	1	1	L	sigma	1
0.003928	2	3	9	1	1	L	sigma	1
0.003902	2	3	10	1	1	L	sigma	1
0.004039	2	4	1	1	1	L	sigma	1
0.003878	2	4	2	1	1	L	sigma	1
0.004012	2	4	3	1	1	L	sigma	1
0.004000	2	4	4	1	1	L	sigma	1
0.003963	2	4	5	1	1	L	sigma	1
0.004008	2	4	6	1	1	L	sigma	1
0.004002	2	4	7	1	1	L	sigma	1
0.003987	2	4	8	1	1	L	sigma	1
0.003932	2	4	9	1	1	L	sigma	1
0.003938	2	4	10	1	1	L	sigma	1
0.004074	2	5	1	1	1	L	sigma	1
0.003993	2	5	2	1	1	L	sigma	1
0.003990	2	5	3	1	1	L	sigma	1
0.003998	2	5	4	1	1	L	sigma	1
0.003999	2	5	5	1	1	L	sigma	1
0.003985	2	5	6	1	1	L	sigma	1
0.004000	2	5	7	1	1	L	sigma	1
0.003996	2	5	8	1	1	L	sigma	1
0.003989	2	5	9	1	1	L	sigma	1
0.003925	2	5	10	1	1	L	sigma	1
0.003986	2	6	1	1	1	L	sigma	1
0.003956	2	6	2	1	1	L	sigma	1
0.003982	2	6	3	1	1	L	sigma	1
0.003977	2	6	4	1	1	L	sigma	1
0.003976	2	6	5	1	1	L	sigma	1
0.003975	2	6	6	1	1	L	sigma	1
0.003970	2	6	7	1	1	L	sigma	1
0.003964	2	6	8	1	1	L	sigma	1
0.003974	2	6	9	1	1	L	sigma	1
0.003952	2	6	10	1	1	L	sigma	1
0.003962	2	7	1	1	1	L	sigma	1
0.003959	2	7	2	1	1	L	sigma	1
0.003959	2	7	3	1	1	L	sigma	1
0.003964	2	7	4	1	1	L	sigma	1
0.003971	2	7	5	1	1	L	sigma	1
0.003973	2	7	6	1	1	L	sigma	1
0.003978	2	7	7	1	1	L	sigma	1
0.003976	2	7	8	1	1	L	sigma	1
0.003980	2	7	9	1	1	L	sigma	1
0.003970	2	7	10	1	1	L	sigma	1
0.003988	2	8	1	1	1	L	sigma	1
0.003980	2	8	2	1	1	L	sigma	1
0.003965	2	8	3	1	1	L	sigma	1
0.003972	2	8	4	1	1	L	sigma	1
0.003967	2	8	5	1	1	L	sigma	1
0.003973	2	8	6	1	1	L	sigma	1
0.003975	2	8	7	1	1	L	sigma	1
0.003967	2	8	8	1	1	L	sigma	1
0.003971	2	8	9	1	1	L	sigma	1
0.003986	2	8	10	1	1	L	sigma	1
0.003945	2	9	1	1	1	L	sigma	1
0.003974	2	9	2	1	1	L	sigma	1
0.003971	2	9	3	1	1	L	sigma	1
0.003975	2	9	4	1	1	L	sigma	1
0.003962	2	9	5	1	1	L	sigma	1
0.003969	2	9	6	1	1	L	sigma	1
0.003975	2	9	7	1	1	L	sigma	1
0.003964	2	9	8	1	1	L	sigma	1
0.003970	2	9	9	1	1	L	sigma	1
0.003964	2	9	10	1	1	L	sigma	1
0.003921	2	10	1	1	1	L	sigma	1
0.003963	2	10	2	1	1	L	sigma	1
0.003964	2	10	3	1	1	L	sigma	1
0.003968	2	10	4	1	1	L	sigma	1
0.003967	2	10	5	1	1	L	sigma	1
0.003962	2	10	6	1	1	L	sigma	1
0.003964	2	10	7	1	1	L	sigma	1
0.003959	2	10	8	1	1	L	sigma	1
0.003953	2	10	9	1	1	L	sigma	1
0.003979	2	10	10	1	1	L	sigma	1
NaN	3	1	1	1	1	L	sigma	1
NaN	3	1	2	1	1	L	sigma	1
NaN	3	1	3	1	1	L	sigma	1
NaN	3	1	4	1	1	L	sigma	1
NaN	3	1	5	1	1	L	sigma	1
NaN	3	1	6	1	1	L	sigma	1
NaN	3	1	7	1	1	L	sigma	1
NaN	3	1	8	1	1	L	sigma	1
NaN	3	1	9	1	1	L	sigma	1
NaN	3	1	10	1	1	L	sigma	1
0.005186	3	2	1	1	1	L	sigma	1
0.005379	3	2	2	1	1	L	sigma	1
0.005530	3	2	3	1	1	L	sigma	1
0.005213	3	2	4	1	1	L	sigma	1
0.005311	3	2	5	1	1	L	sigma	1
0.005214	3	2	6	1	1	L	sigma	1
0.005371	3	2	7	1	1	L	sigma	1
0.005457	3	2	8	1	1	L	sigma	1
0.005338	3	2	9	1	1	L	sigma	1
NaN	3	2	10	1	1	L	sigma	1
