tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.002830	1	1	1	1	1	L	sigma	5
0.002834	1	1	2	1	1	L	sigma	5
0.002824	1	1	3	1	1	L	sigma	5
0.002808	1	1	4	1	1	L	sigma	5
0.002833	1	1	5	1	1	L	sigma	5
0.002830	1	1	6	1	1	L	sigma	5
0.002811	1	1	7	1	1	L	sigma	5
0.002826	1	1	8	1	1	L	sigma	5
0.002828	1	1	9	1	1	L	sigma	5
0.002827	1	1	10	1	1	L	sigma	5
0.002807	1	2	1	1	1	L	sigma	5
0.002832	1	2	2	1	1	L	sigma	5
0.002816	1	2	3	1	1	L	sigma	5
0.002831	1	2	4	1	1	L	sigma	5
0.002824	1	2	5	1	1	L	sigma	5
0.002835	1	2	6	1	1	L	sigma	5
0.002829	1	2	7	1	1	L	sigma	5
0.002833	1	2	8	1	1	L	sigma	5
0.002834	1	2	9	1	1	L	sigma	5
0.002839	1	2	10	1	1	L	sigma	5
0.002847	1	3	1	1	1	L	sigma	5
0.002812	1	3	2	1	1	L	sigma	5
0.002829	1	3	3	1	1	L	sigma	5
0.002825	1	3	4	1	1	L	sigma	5
0.002827	1	3	5	1	1	L	sigma	5
0.002823	1	3	6	1	1	L	sigma	5
0.002824	1	3	7	1	1	L	sigma	5
0.002839	1	3	8	1	1	L	sigma	5
0.002829	1	3	9	1	1	L	sigma	5
0.002836	1	3	10	1	1	L	sigma	5
0.002799	1	4	1	1	1	L	sigma	5
0.002797	1	4	2	1	1	L	sigma	5
0.002866	1	4	3	1	1	L	sigma	5
0.002848	1	4	4	1	1	L	sigma	5
0.002837	1	4	5	1	1	L	sigma	5
0.002840	1	4	6	1	1	L	sigma	5
0.002839	1	4	7	1	1	L	sigma	5
0.002842	1	4	8	1	1	L	sigma	5
0.002839	1	4	9	1	1	L	sigma	5
0.002831	1	4	10	1	1	L	sigma	5
0.002823	1	5	1	1	1	L	sigma	5
0.002797	1	5	2	1	1	L	sigma	5
0.002825	1	5	3	1	1	L	sigma	5
0.002829	1	5	4	1	1	L	sigma	5
0.002837	1	5	5	1	1	L	sigma	5
0.002825	1	5	6	1	1	L	sigma	5
0.002833	1	5	7	1	1	L	sigma	5
0.002826	1	5	8	1	1	L	sigma	5
0.002840	1	5	9	1	1	L	sigma	5
0.002840	1	5	10	1	1	L	sigma	5
0.002829	1	6	1	1	1	L	sigma	5
0.002869	1	6	2	1	1	L	sigma	5
0.002838	1	6	3	1	1	L	sigma	5
0.002838	1	6	4	1	1	L	sigma	5
0.002837	1	6	5	1	1	L	sigma	5
0.002831	1	6	6	1	1	L	sigma	5
0.002834	1	6	7	1	1	L	sigma	5
0.002825	1	6	8	1	1	L	sigma	5
0.002836	1	6	9	1	1	L	sigma	5
0.002826	1	6	10	1	1	L	sigma	5
0.002857	1	7	1	1	1	L	sigma	5
0.002861	1	7	2	1	1	L	sigma	5
0.002839	1	7	3	1	1	L	sigma	5
0.002826	1	7	4	1	1	L	sigma	5
0.002832	1	7	5	1	1	L	sigma	5
0.002828	1	7	6	1	1	L	sigma	5
0.002815	1	7	7	1	1	L	sigma	5
0.002834	1	7	8	1	1	L	sigma	5
0.002816	1	7	9	1	1	L	sigma	5
0.002820	1	7	10	1	1	L	sigma	5
NaN	1	8	1	1	1	L	sigma	5
0.002933	1	8	2	1	1	L	sigma	5
0.002843	1	8	3	1	1	L	sigma	5
0.002827	1	8	4	1	1	L	sigma	5
0.002821	1	8	5	1	1	L	sigma	5
0.002820	1	8	6	1	1	L	sigma	5
0.002817	1	8	7	1	1	L	sigma	5
0.002836	1	8	8	1	1	L	sigma	5
0.002824	1	8	9	1	1	L	sigma	5
0.002829	1	8	10	1	1	L	sigma	5
NaN	1	9	1	1	1	L	sigma	5
NaN	1	9	2	1	1	L	sigma	5
0.002881	1	9	3	1	1	L	sigma	5
0.002842	1	9	4	1	1	L	sigma	5
0.002822	1	9	5	1	1	L	sigma	5
0.002820	1	9	6	1	1	L	sigma	5
0.002815	1	9	7	1	1	L	sigma	5
0.002836	1	9	8	1	1	L	sigma	5
0.002861	1	9	9	1	1	L	sigma	5
0.002838	1	9	10	1	1	L	sigma	5
NaN	1	10	1	1	1	L	sigma	5
NaN	1	10	2	1	1	L	sigma	5
0.002762	1	10	3	1	1	L	sigma	5
0.002827	1	10	4	1	1	L	sigma	5
0.002774	1	10	5	1	1	L	sigma	5
0.002803	1	10	6	1	1	L	sigma	5
0.002842	1	10	7	1	1	L	sigma	5
0.002853	1	10	8	1	1	L	sigma	5
0.002709	1	10	9	1	1	L	sigma	5
0.002813	1	10	10	1	1	L	sigma	5
0.004025	2	1	1	1	1	L	sigma	5
0.003991	2	1	2	1	1	L	sigma	5
0.004034	2	1	3	1	1	L	sigma	5
0.004031	2	1	4	1	1	L	sigma	5
0.004011	2	1	5	1	1	L	sigma	5
