SAMPLE	BIN	TARGET	PYRAMIDLVL	TPRESENT	RESPONSEFUNC	NUM_RESPONSE	L	C	S	TRESP	RESPONSEFUNC_NAME
1	1	2	3	1	2	1	1	5	5	0.737211	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	2	1	1	1	5	5	0.157478	occluding_model.lib.response_functions.separableTR
1	1	2	3	2	1	2	1	5	5	0.161398	occluding_model.lib.response_functions.separableTR
1	1	2	3	2	2	1	1	5	5	0.991208	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	1	1	1	1	5	5	0.032023	occluding_model.lib.response_functions.separableTR
1	1	2	4	1	1	2	1	5	5	-0.006830	occluding_model.lib.response_functions.separableTR
1	1	2	4	1	2	1	1	5	5	0.727725	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	2	1	1	1	5	5	0.129041	occluding_model.lib.response_functions.separableTR
1	1	2	4	2	1	2	1	5	5	0.116427	occluding_model.lib.response_functions.separableTR
1	1	2	4	2	2	1	1	5	5	0.963565	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	1	1	1	1	5	5	0.033077	occluding_model.lib.response_functions.separableTR
1	1	2	5	1	1	2	1	5	5	-0.003589	occluding_model.lib.response_functions.separableTR
1	1	2	5	1	2	1	1	5	5	0.694208	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	2	1	1	1	5	5	0.094598	occluding_model.lib.response_functions.separableTR
1	1	2	5	2	1	2	1	5	5	0.024527	occluding_model.lib.response_functions.separableTR
1	1	2	5	2	2	1	1	5	5	0.794512	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	1	1	1	1	5	5	0.030513	occluding_model.lib.response_functions.separableTR
1	1	3	1	1	1	2	1	5	5	-0.001210	occluding_model.lib.response_functions.separableTR
1	1	3	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	2	1	1	1	5	5	0.174298	occluding_model.lib.response_functions.separableTR
1	1	3	1	2	1	2	1	5	5	0.132025	occluding_model.lib.response_functions.separableTR
1	1	3	1	2	2	1	1	5	5	0.988654	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	1	1	1	1	5	5	0.030713	occluding_model.lib.response_functions.separableTR
1	1	3	2	1	1	2	1	5	5	-0.001365	occluding_model.lib.response_functions.separableTR
1	1	3	2	1	2	1	1	5	5	0.681239	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	2	1	1	1	5	5	0.167585	occluding_model.lib.response_functions.separableTR
1	1	3	2	2	1	2	1	5	5	0.145634	occluding_model.lib.response_functions.separableTR
1	1	3	2	2	2	1	1	5	5	0.984950	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	1	1	1	1	5	5	0.030227	occluding_model.lib.response_functions.separableTR
1	1	3	3	1	1	2	1	5	5	-0.001687	occluding_model.lib.response_functions.separableTR
1	1	3	3	1	2	1	1	5	5	0.736747	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	2	1	1	1	5	5	0.155585	occluding_model.lib.response_functions.separableTR
1	1	3	3	2	1	2	1	5	5	0.138829	occluding_model.lib.response_functions.separableTR
1	1	3	3	2	2	1	1	5	5	0.976751	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	1	1	1	1	5	5	0.031567	occluding_model.lib.response_functions.separableTR
1	1	3	4	1	1	2	1	5	5	-0.003058	occluding_model.lib.response_functions.separableTR
1	1	3	4	1	2	1	1	5	5	0.720345	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	2	1	1	1	5	5	0.133902	occluding_model.lib.response_functions.separableTR
1	1	3	4	2	1	2	1	5	5	0.087206	occluding_model.lib.response_functions.separableTR
1	1	3	4	2	2	1	1	5	5	0.989835	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	1	1	1	1	5	5	0.038100	occluding_model.lib.response_functions.separableTR
1	1	3	5	1	1	2	1	5	5	-0.001927	occluding_model.lib.response_functions.separableTR
1	1	3	5	1	2	1	1	5	5	0.604861	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	2	1	1	1	5	5	0.097283	occluding_model.lib.response_functions.separableTR
1	1	3	5	2	1	2	1	5	5	0.015326	occluding_model.lib.response_functions.separableTR
1	1	3	5	2	2	1	1	5	5	0.956984	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	1	1	1	1	5	5	0.030513	occluding_model.lib.response_functions.separableTR
1	1	4	1	1	1	2	1	5	5	0.000165	occluding_model.lib.response_functions.separableTR
1	1	4	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	2	1	1	1	5	5	0.171993	occluding_model.lib.response_functions.separableTR
1	1	4	1	2	1	2	1	5	5	0.129686	occluding_model.lib.response_functions.separableTR
1	1	4	1	2	2	1	1	5	5	0.998145	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	2	1	1	1	1	5	5	0.030430	occluding_model.lib.response_functions.separableTR
1	1	4	2	1	1	2	1	5	5	0.000154	occluding_model.lib.response_functions.separableTR
1	1	4	2	1	2	1	1	5	5	0.696442	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	2	2	1	1	1	5	5	0.162303	occluding_model.lib.response_functions.separableTR
1	1	4	2	2	1	2	1	5	5	0.108841	occluding_model.lib.response_functions.separableTR
1	1	4	2	2	2	1	1	5	5	0.999255	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	3	1	1	1	1	5	5	0.030551	occluding_model.lib.response_functions.separableTR
1	1	4	3	1	1	2	1	5	5	-0.000000	occluding_model.lib.response_functions.separableTR
1	1	4	3	1	2	1	1	5	5	0.735032	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	3	2	1	1	1	5	5	0.148292	occluding_model.lib.response_functions.separableTR
1	1	4	3	2	1	2	1	5	5	0.043228	occluding_model.lib.response_functions.separableTR
1	1	4	3	2	2	1	1	5	5	0.998866	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	4	1	1	1	1	5	5	0.031567	occluding_model.lib.response_functions.separableTR
1	1	4	4	1	1	2	1	5	5	-0.001669	occluding_model.lib.response_functions.separableTR
1	1	4	4	1	2	1	1	5	5	0.720345	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	4	2	1	1	1	5	5	0.126191	occluding_model.lib.response_functions.separableTR
1	1	4	4	2	1	2	1	5	5	0.032397	occluding_model.lib.response_functions.separableTR
1	1	4	4	2	2	1	1	5	5	0.993426	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	5	1	1	1	1	5	5	0.036018	occluding_model.lib.response_functions.separableTR
1	1	4	5	1	1	2	1	5	5	-0.001449	occluding_model.lib.response_functions.separableTR
1	1	4	5	1	2	1	1	5	5	0.625354	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	5	2	1	1	1	5	5	0.095322	occluding_model.lib.response_functions.separableTR
1	1	4	5	2	1	2	1	5	5	0.013278	occluding_model.lib.response_functions.separableTR
1	1	4	5	2	2	1	1	5	5	0.893107	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
