SAMPLE	BIN	TARGET	PYRAMIDLVL	TPRESENT	RESPONSEFUNC	NUM_RESPONSE	L	C	S	TRESP	RESPONSEFUNC_NAME
1	1	1	1	1	1	1	1	5	5	0.030573	occluding_model.lib.response_functions.separableTR
1	1	1	1	1	1	2	1	5	5	-0.000294	occluding_model.lib.response_functions.separableTR
1	1	1	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	2	1	1	1	5	5	0.165036	occluding_model.lib.response_functions.separableTR
1	1	1	1	2	1	2	1	5	5	0.132746	occluding_model.lib.response_functions.separableTR
1	1	1	1	2	2	1	1	5	5	0.993318	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	1	1	1	1	5	5	0.030424	occluding_model.lib.response_functions.separableTR
1	1	1	2	1	1	2	1	5	5	0.011546	occluding_model.lib.response_functions.separableTR
1	1	1	2	1	2	1	1	5	5	0.676627	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	2	1	1	1	5	5	0.161445	occluding_model.lib.response_functions.separableTR
1	1	1	2	2	1	2	1	5	5	0.199114	occluding_model.lib.response_functions.separableTR
1	1	1	2	2	2	1	1	5	5	0.993784	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	1	1	1	1	5	5	0.030773	occluding_model.lib.response_functions.separableTR
1	1	1	3	1	1	2	1	5	5	-0.002283	occluding_model.lib.response_functions.separableTR
1	1	1	3	1	2	1	1	5	5	0.740114	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	2	1	1	1	5	5	0.132887	occluding_model.lib.response_functions.separableTR
1	1	1	3	2	1	2	1	5	5	0.206342	occluding_model.lib.response_functions.separableTR
1	1	1	3	2	2	1	1	5	5	0.993711	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	1	1	1	1	5	5	0.031532	occluding_model.lib.response_functions.separableTR
1	1	1	4	1	1	2	1	5	5	-0.007524	occluding_model.lib.response_functions.separableTR
1	1	1	4	1	2	1	1	5	5	0.737176	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	2	1	1	1	5	5	0.104555	occluding_model.lib.response_functions.separableTR
1	1	1	4	2	1	2	1	5	5	0.162428	occluding_model.lib.response_functions.separableTR
1	1	1	4	2	2	1	1	5	5	0.987749	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	5	1	1	1	1	5	5	0.037171	occluding_model.lib.response_functions.separableTR
1	1	1	5	1	1	2	1	5	5	-0.012963	occluding_model.lib.response_functions.separableTR
1	1	1	5	1	2	1	1	5	5	0.646735	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	5	2	1	1	1	5	5	0.077512	occluding_model.lib.response_functions.separableTR
1	1	1	5	2	1	2	1	5	5	0.060895	occluding_model.lib.response_functions.separableTR
1	1	1	5	2	2	1	1	5	5	0.931994	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	1	1	1	1	1	5	5	0.030573	occluding_model.lib.response_functions.separableTR
1	1	2	1	1	1	2	1	5	5	-0.006909	occluding_model.lib.response_functions.separableTR
1	1	2	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	1	2	1	1	1	5	5	0.165031	occluding_model.lib.response_functions.separableTR
1	1	2	1	2	1	2	1	5	5	0.132532	occluding_model.lib.response_functions.separableTR
1	1	2	1	2	2	1	1	5	5	0.993427	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	2	1	1	1	1	5	5	0.030754	occluding_model.lib.response_functions.separableTR
1	1	2	2	1	1	2	1	5	5	0.005664	occluding_model.lib.response_functions.separableTR
1	1	2	2	1	2	1	1	5	5	0.681239	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	2	2	1	1	1	5	5	0.160582	occluding_model.lib.response_functions.separableTR
1	1	2	2	2	1	2	1	5	5	0.201514	occluding_model.lib.response_functions.separableTR
1	1	2	2	2	2	1	1	5	5	0.990670	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	1	1	1	1	5	5	0.030884	occluding_model.lib.response_functions.separableTR
1	1	2	3	1	1	2	1	5	5	-0.009355	occluding_model.lib.response_functions.separableTR
1	1	2	3	1	2	1	1	5	5	0.737211	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	2	1	1	1	5	5	0.132986	occluding_model.lib.response_functions.separableTR
1	1	2	3	2	1	2	1	5	5	0.210563	occluding_model.lib.response_functions.separableTR
1	1	2	3	2	2	1	1	5	5	0.991208	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	1	1	1	1	5	5	0.032845	occluding_model.lib.response_functions.separableTR
1	1	2	4	1	1	2	1	5	5	-0.009250	occluding_model.lib.response_functions.separableTR
1	1	2	4	1	2	1	1	5	5	0.727725	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	2	1	1	1	5	5	0.103784	occluding_model.lib.response_functions.separableTR
1	1	2	4	2	1	2	1	5	5	0.164294	occluding_model.lib.response_functions.separableTR
1	1	2	4	2	2	1	1	5	5	0.963565	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	1	1	1	1	5	5	0.035504	occluding_model.lib.response_functions.separableTR
1	1	2	5	1	1	2	1	5	5	-0.011994	occluding_model.lib.response_functions.separableTR
1	1	2	5	1	2	1	1	5	5	0.694208	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	2	1	1	1	5	5	0.075067	occluding_model.lib.response_functions.separableTR
1	1	2	5	2	1	2	1	5	5	0.060490	occluding_model.lib.response_functions.separableTR
1	1	2	5	2	2	1	1	5	5	0.794512	occluding_model.lib.response_functions.edgeResponseMag
1	1	2	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	1	1	1	1	5	5	0.030573	occluding_model.lib.response_functions.separableTR
1	1	3	1	1	1	2	1	5	5	-0.001210	occluding_model.lib.response_functions.separableTR
1	1	3	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	2	1	1	1	5	5	0.165105	occluding_model.lib.response_functions.separableTR
1	1	3	1	2	1	2	1	5	5	0.132025	occluding_model.lib.response_functions.separableTR
1	1	3	1	2	2	1	1	5	5	0.988654	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	1	1	1	1	5	5	0.030754	occluding_model.lib.response_functions.separableTR
1	1	3	2	1	1	2	1	5	5	0.011999	occluding_model.lib.response_functions.separableTR
1	1	3	2	1	2	1	1	5	5	0.681239	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	2	1	1	1	5	5	0.161184	occluding_model.lib.response_functions.separableTR
1	1	3	2	2	1	2	1	5	5	0.202740	occluding_model.lib.response_functions.separableTR
1	1	3	2	2	2	1	1	5	5	0.984950	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	1	1	1	1	5	5	0.030595	occluding_model.lib.response_functions.separableTR
1	1	3	3	1	1	2	1	5	5	-0.002963	occluding_model.lib.response_functions.separableTR
1	1	3	3	1	2	1	1	5	5	0.736747	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	2	1	1	1	5	5	0.132061	occluding_model.lib.response_functions.separableTR
1	1	3	3	2	1	2	1	5	5	0.186228	occluding_model.lib.response_functions.separableTR
1	1	3	3	2	2	1	1	5	5	0.976751	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	1	1	1	1	5	5	0.032806	occluding_model.lib.response_functions.separableTR
1	1	3	4	1	1	2	1	5	5	-0.006439	occluding_model.lib.response_functions.separableTR
1	1	3	4	1	2	1	1	5	5	0.720345	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	2	1	1	1	5	5	0.105404	occluding_model.lib.response_functions.separableTR
1	1	3	4	2	1	2	1	5	5	0.143675	occluding_model.lib.response_functions.separableTR
1	1	3	4	2	2	1	1	5	5	0.989835	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	1	1	1	1	5	5	0.040898	occluding_model.lib.response_functions.separableTR
1	1	3	5	1	1	2	1	5	5	-0.008428	occluding_model.lib.response_functions.separableTR
1	1	3	5	1	2	1	1	5	5	0.604861	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	2	1	1	1	5	5	0.079484	occluding_model.lib.response_functions.separableTR
1	1	3	5	2	1	2	1	5	5	0.050209	occluding_model.lib.response_functions.separableTR
1	1	3	5	2	2	1	1	5	5	0.956984	occluding_model.lib.response_functions.edgeResponseMag
1	1	3	5	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	1	1	1	1	5	5	0.030573	occluding_model.lib.response_functions.separableTR
1	1	4	1	1	1	2	1	5	5	0.000165	occluding_model.lib.response_functions.separableTR
1	1	4	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	2	1	1	1	5	5	0.164743	occluding_model.lib.response_functions.separableTR
1	1	4	1	2	1	2	1	5	5	0.129686	occluding_model.lib.response_functions.separableTR
1	1	4	1	2	2	1	1	5	5	0.998145	occluding_model.lib.response_functions.edgeResponseMag
1	1	4	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
